step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68798828125,382.74424299015664,3308.67431640625,,,,,
2,1,2,0.0,32.0,32.0,0.69775390625,68.59060400165617,4304.3583984375,,,,,
3,1,3,0.0,32.0,32.0,0.713134765625,74.1094530094415,4303.3583984375,,,,,
4,1,4,0.0,32.0,32.0,0.689453125,77.29775999905542,4303.3583984375,,,,,
5,1,5,0.0,32.0,32.0,0.6898193359375,76.02452699211426,4303.3583984375,,,,,
6,1,6,0.0,32.0,32.0,0.698974609375,76.72949298284948,4303.3583984375,,,,,
7,1,7,0.0,32.0,32.0,0.68609619140625,77.05732499016449,4303.3583984375,,,,,
8,1,8,0.0,32.0,32.0,0.6917724609375,77.45075001730584,4303.3583984375,,,,,
9,1,9,0.0,32.0,32.0,0.6903076171875,77.32071800273843,4303.3583984375,,,,,
10,1,10,0.0,32.0,32.0,0.702880859375,108.49310897174291,4303.3583984375,,,,,
11,1,11,0.0,32.0,32.0,0.692626953125,111.82739000651054,4303.3583984375,,,,,
12,1,12,0.0,32.0,32.0,0.6954345703125,110.69418402621523,4303.3583984375,,,,,
13,1,13,0.0,32.0,32.0,0.690673828125,83.87951299664564,4303.3583984375,,,,,
14,1,14,0.0,32.0,32.0,0.6812744140625,79.78928700322285,4303.3583984375,,,,,
15,1,15,0.0,32.0,32.0,0.6915283203125,75.90315301786177,4303.3583984375,,,,,
16,1,16,0.0,32.0,32.0,0.693603515625,77.72310500149615,4303.3583984375,,,,,
17,1,17,0.0,32.0,32.0,0.7081298828125,78.71488999808207,4303.3583984375,,,,,
18,1,18,0.0,32.0,32.0,0.6922607421875,77.64798100106418,4303.3583984375,,,,,
19,1,19,0.0,32.0,32.0,0.691650390625,77.89410301484168,4303.3583984375,,,,,
20,1,20,0.0,32.0,32.0,0.70458984375,80.24825001484714,4303.3583984375,,,,,
21,1,21,0.0,32.0,32.0,0.7005615234375,91.9875240069814,4303.3583984375,,,,,
22,1,22,0.0,32.0,32.0,0.6915283203125,100.2715720096603,4303.3583984375,,,,,
23,1,23,0.0,32.0,32.0,0.703125,106.81527899578214,4303.3583984375,,,,,
24,1,24,0.0,32.0,32.0,0.6944580078125,90.31925900490023,4303.3583984375,,,,,
25,1,25,0.0,32.0,32.0,0.6800537109375,81.56845002667978,4303.3583984375,,,,,
26,1,26,0.0,32.0,32.0,0.689453125,78.98770400788635,4303.3583984375,,,,,
27,1,27,0.0,32.0,32.0,0.700927734375,78.08148200274445,4303.3583984375,,,,,
28,1,28,0.0,32.0,32.0,0.7042236328125,77.8278119978495,4303.3583984375,,,,,
29,1,29,0.0,32.0,32.0,0.6900634765625,78.26476197806187,4303.3583984375,,,,,
30,1,30,0.0,32.0,32.0,0.6990966796875,78.13486800296232,4303.3583984375,,,,,
31,1,31,0.0,32.0,32.0,0.6812744140625,80.88034100364894,4303.3583984375,,,,,
32,1,32,0.0,32.0,32.0,0.69970703125,85.95338897430338,4303.3583984375,,,,,
33,1,33,0.0,32.0,32.0,0.702880859375,92.1617959975265,4303.3583984375,,,,,
34,1,34,0.0,32.0,32.0,0.7061767578125,97.65734898974188,4303.3583984375,,,,,
35,1,35,0.0,32.0,32.0,0.6898193359375,93.57038800953887,4303.3583984375,,,,,
36,1,36,0.0,32.0,32.0,0.7020263671875,88.39046498178504,4303.3583984375,,,,,
37,1,37,0.0,32.0,32.0,0.68798828125,82.96000101836398,4303.3583984375,,,,,
38,1,38,0.0,32.0,32.0,0.7183837890625,79.29973298450932,4303.3583984375,,,,,
