step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.697509765625,380.03129899152555,3308.67431640625,,,,,
2,1,2,0.0,32.0,32.0,0.6922607421875,68.8493350171484,4304.3583984375,,,,,
3,1,3,0.0,32.0,32.0,0.692138671875,76.24365098308772,4303.3583984375,,,,,
4,1,4,0.0,32.0,32.0,0.689208984375,76.13332397886552,4303.3583984375,,,,,
5,1,5,0.0,32.0,32.0,0.6875,77.49328398494981,4303.3583984375,,,,,
6,1,6,0.0,32.0,32.0,0.69635009765625,77.89243999286555,4303.3583984375,,,,,
7,1,7,0.0,32.0,32.0,0.684326171875,77.03668900649063,4303.3583984375,,,,,
8,1,8,0.0,32.0,32.0,0.69647216796875,77.6625259895809,4303.3583984375,,,,,
9,1,9,0.0,32.0,32.0,0.70745849609375,76.38847301132046,4303.3583984375,,,,,
10,1,10,0.0,32.0,32.0,0.67779541015625,92.0560660015326,4303.3583984375,,,,,
11,1,11,0.0,32.0,32.0,0.686767578125,114.14133198559284,4303.3583984375,,,,,
12,1,12,0.0,32.0,32.0,0.68109130859375,111.79420800181106,4303.3583984375,,,,,
13,1,13,0.0,32.0,32.0,0.7056884765625,88.76162598608062,4303.3583984375,,,,,
14,1,14,0.0,32.0,32.0,0.67315673828125,80.04781999625266,4303.3583984375,,,,,
15,1,15,0.0,32.0,32.0,0.6932373046875,79.3189859832637,4303.3583984375,,,,,
16,1,16,0.0,32.0,32.0,0.7216796875,78.93245300510898,4303.3583984375,,,,,
17,1,17,0.0,32.0,32.0,0.6788330078125,77.00401902548037,4303.3583984375,,,,,
18,1,18,0.0,32.0,32.0,0.6864013671875,78.21903997682966,4303.3583984375,,,,,
19,1,19,0.0,32.0,32.0,0.68609619140625,77.50176501576789,4303.3583984375,,,,,
20,1,20,0.0,32.0,32.0,0.69757080078125,78.63908898434602,4303.3583984375,,,,,
21,1,21,0.0,32.0,32.0,0.70623779296875,84.2652760038618,4025.5166015625,,,,,
22,1,22,0.0,32.0,32.0,0.6932373046875,99.50468598981388,4303.3583984375,,,,,
23,1,23,0.0,32.0,32.0,0.715576171875,105.58975901221856,4303.3583984375,,,,,
24,1,24,0.0,32.0,32.0,0.68231201171875,93.95462801330723,4303.3583984375,,,,,
25,1,25,0.0,32.0,32.0,0.6981201171875,84.44721199339256,4303.3583984375,,,,,
26,1,26,0.0,32.0,32.0,0.69305419921875,82.0685219950974,4303.3583984375,,,,,
27,1,27,0.0,32.0,32.0,0.7113037109375,80.52590399165638,4303.3583984375,,,,,
28,1,28,0.0,32.0,32.0,0.6773681640625,79.03465398703702,4303.3583984375,,,,,
29,1,29,0.0,32.0,32.0,0.7032470703125,79.67197199468501,4303.3583984375,,,,,
30,1,30,0.0,32.0,32.0,0.67529296875,78.49211298162118,4303.3583984375,,,,,
31,1,31,0.0,32.0,32.0,0.6982421875,78.99547499255277,4303.3583984375,,,,,
32,1,32,0.0,32.0,32.0,0.6953125,83.22204899741337,4303.3583984375,,,,,
33,1,33,0.0,32.0,32.0,0.67327880859375,89.87258200068027,4303.3583984375,,,,,
34,1,34,0.0,32.0,32.0,0.71490478515625,97.91152100660838,4303.3583984375,,,,,
35,1,35,0.0,32.0,32.0,0.66497802734375,92.8527359792497,4303.3583984375,,,,,
36,1,36,0.0,32.0,32.0,0.702392578125,89.39905199804343,4303.3583984375,,,,,
37,1,37,0.0,32.0,32.0,0.67852783203125,83.98567899712361,4303.3583984375,,,,,
38,1,38,0.0,32.0,32.0,0.73370361328125,81.3475129834842,4303.3583984375,,,,,
39,1,39,0.0,32.0,32.0,0.69580078125,80.59220900759101,4303.3583984375,,,,,
40,1,40,0.0,32.0,32.0,0.6920166015625,80.31009399564937,4303.3583984375,,,,,
41,1,41,0.0,32.0,32.0,0.7010498046875,79.88563098479062,4303.3583984375,,,,,
42,1,42,0.0,32.0,32.0,0.685302734375,80.1750110113062,4303.3583984375,,,,,
43,1,43,0.0,32.0,32.0,0.682861328125,80.88869298808277,4303.3583984375,,,,,
44,1,44,0.0,32.0,32.0,0.6961669921875,86.82354399934411,4303.3583984375,,,,,
45,1,45,0.0,32.0,32.0,0.685791015625,91.33274600026198,4303.3583984375,,,,,
46,1,46,0.0,32.0,32.0,0.6920166015625,92.50236101797782,4303.3583984375,,,,,
47,1,47,0.0,32.0,32.0,0.71063232421875,90.67357200547121,4303.3583984375,,,,,
48,1,48,0.0,32.0,32.0,0.70703125,87.08470800775103,4303.3583984375,,,,,
49,1,49,0.0,32.0,32.0,0.7100830078125,83.09789799386635,4303.3583984375,,,,,
50,1,50,0.0,32.0,32.0,0.707763671875,81.27872002660297,4303.3583984375,,,,,
51,1,51,0.0,32.0,32.0,0.7012939453125,81.4679269969929,4303.3583984375,,,,,
52,1,52,0.0,32.0,32.0,0.68310546875,80.64967798418365,4303.3583984375,,,,,
53,1,53,0.0,32.0,32.0,0.6865234375,80.50157100660726,4303.3583984375,,,,,
54,1,54,0.0,32.0,32.0,0.7078857421875,79.81826300965622,4303.3583984375,,,,,
55,1,55,0.0,32.0,32.0,0.677001953125,84.92363701225258,4303.3583984375,,,,,
56,1,56,0.0,32.0,32.0,0.69134521484375,88.14922397141345,4303.3583984375,,,,,
57,1,57,0.0,32.0,32.0,0.7047119140625,89.81629100162536,4303.3583984375,,,,,
58,1,58,0.0,32.0,32.0,0.69384765625,89.66085899737664,4303.3583984375,,,,,
59,1,59,0.0,32.0,32.0,0.70068359375,88.8179200119339,4303.3583984375,,,,,
60,1,60,0.0,32.0,32.0,0.67730712890625,87.01191798900254,4303.3583984375,,,,,
61,1,61,0.0,32.0,32.0,0.6922607421875,82.76522901724093,4303.3583984375,,,,,
62,1,62,0.0,32.0,32.0,0.695068359375,81.64458500687033,4303.3583984375,,,,,
63,1,63,0.0,32.0,32.0,0.7218017578125,81.5463490143884,4303.3583984375,,,,,
64,1,64,0.0,32.0,32.0,0.69384765625,82.35899801366031,4303.3583984375,,,,,
65,1,65,0.0,32.0,32.0,0.700927734375,80.14065798488446,4303.3583984375,,,,,
66,1,66,0.0,32.0,32.0,0.6859130859375,83.61385500757024,4303.3583984375,,,,,
67,1,67,0.0,32.0,32.0,0.68170166015625,84.66590801253915,4303.3583984375,,,,,
68,1,68,0.0,32.0,32.0,0.69366455078125,87.75649798917584,4303.3583984375,,,,,
69,1,69,0.0,32.0,32.0,0.701904296875,89.98885998153128,4303.3583984375,,,,,
70,1,70,0.0,32.0,32.0,0.703369140625,88.15713098738343,4303.3583984375,,,,,
71,1,71,0.0,32.0,32.0,0.706787109375,85.8045209897682,4303.3583984375,,,,,
72,1,72,0.0,32.0,32.0,0.6875,86.4759879768826,4303.3583984375,,,,,
73,1,73,0.0,32.0,32.0,0.665283203125,82.39111700095236,4303.3583984375,,,,,
74,1,74,0.0,32.0,32.0,0.7391357421875,82.38870999775827,4303.3583984375,,,,,
75,1,75,0.0,32.0,32.0,0.6944580078125,81.79528499022126,4303.3583984375,,,,,
