step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.68896484375,29.0,74.0,0.3918918918918919,2.0,27.0,0.06896551724137931,0.9310344827586207,0.15021965627352546,0.14671435192260499,0.15047930844766774,0.0,0.6,0.0033914772,1.0000000002847356,0.6626860200235194,-2.6237048676723213e-08,2.0,27.0,0.8620689655172413,13.5,1.0,0.3620512228800983,0.2509547843576205,2.0,0.5056222825282777,-0.00038217968579595655,0.500191089842898,0.0025881821085455025,791.513373987982,3655.89013671875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.695068359375,32.0,74.0,0.43243243243243246,3.0,29.0,0.09375,0.90625,0.14979617293787795,0.1459359215797926,0.15019550928526607,0.0,0.6,0.0033914772,1.0000000014289725,0.6657161597048185,2.5208312378658793e-08,3.0,29.0,0.8125,9.666666666666666,1.0,0.4488644598691294,0.31112913481184973,2.0,0.5056905666573289,-0.0008414754417268947,0.5004207377208635,0.0014367815067674943,326.9101949990727,3893.27880859375,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.700927734375,35.0,74.0,0.47297297297297297,5.0,30.0,0.14285714285714285,0.8571428571428571,0.14989924590025466,0.14541897687942235,0.15064595740372672,0.0,0.6,0.0033914772,1.000000000206943,0.6586901804678904,1.0162929168513743e-08,5.0,30.0,0.7142857142857143,6.0,1.0,0.5916727497284272,0.41011629828840945,2.0,0.5058073379018454,-0.0005238192553971768,0.5002619096276986,0.0013883089148754302,326.60509800189175,3943.3701171875,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.6885986328125,14.0,74.0,0.1891891891891892,1.0,13.0,0.07142857142857142,0.9285714285714286,0.15012761845174408,0.14670426660281977,0.1503909532093536,0.0,0.6,0.0033914772,0.9999999999423812,0.6673306963196565,2.4609350208748867e-09,1.0,13.0,0.8571428571428571,13.0,1.0,0.3712322977869758,0.2573186205438323,2.0,0.5058156186844032,0.0004900140868682813,0.49975499295656584,0.00260974003401165,336.6280010086484,3802.14013671875,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.6998291015625,30.0,74.0,0.40540540540540543,2.0,28.0,0.06666666666666667,0.9333333333333333,0.1501528194081642,0.14682751542614758,0.15039034112116537,0.0,0.6,0.0033914772,1.0000000000580913,0.6571782794007671,-6.3933317734434546e-09,2.0,28.0,0.8666666666666667,14.0,1.0,0.35335930616752154,0.24493000679463606,2.0,0.505822667403533,-0.0001505795870566769,0.5000752897935283,0.004177046006536744,325.1736240054015,3886.1826171875,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.69085693359375,23.0,74.0,0.3108108108108108,0.0,23.0,0.0,1.0,0.15029744340299417,0.0,0.15029744340299417,0.0,0.6,0.0033914772,1.0000000001808316,0.6605355864331177,-4.65330271869097e-09,0.0,23.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.503029095295472,-1.8554584145885338e-05,0.5000092772920729,nan,316.390017978847,3837.76513671875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.67529296875,23.0,74.0,0.3108108108108108,3.0,20.0,0.13043478260869565,0.8695652173913043,0.1503477172439897,0.14637758248624136,0.15094323745765198,0.0,0.6,0.0033914772,0.9999999997162148,0.6508053997054163,2.1286992092428534e-09,3.0,20.0,0.7391304347826086,6.666666666666667,1.0,0.5586293445982989,0.38721235518636105,2.0,0.5084419915860027,-0.0010022022969289018,0.5005011011484645,-0.0006368391657996748,335.15933697344735,3837.39013671875,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.6903076171875,13.0,74.0,0.17567567567567569,0.0,13.0,0.0,1.0,0.15006950351769924,0.0,0.15006950351769924,0.0,0.6,0.0033914772,1.0000000001564797,0.6618966965721944,-2.800295153169235e-08,0.0,13.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5053443750150098,-0.00018431699053118273,0.5000921584952656,nan,315.0498009927105,3801.95263671875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.682373046875,16.0,74.0,0.21621621621621623,2.0,14.0,0.125,0.875,0.15029664388312808,0.14489897831782572,0.15106773896388556,0.0,0.6,0.0033914772,1.0000000000625942,0.6549161388552504,3.0567321771073864e-10,2.0,14.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5082441545532752,0.0006470714579336345,0.4996764642710332,-0.0029449914585479207,313.49922699155286,3810.19677734375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.69189453125,25.0,74.0,0.33783783783783783,2.0,23.0,0.08,0.92,0.1508847966866677,0.14663271199103228,0.15125454318194037,0.0,0.6,0.0033914772,1.0000000001033467,0.6588096271283368,1.2498755813173734e-09,2.0,23.0,0.84,11.5,1.0,0.40217916134837295,0.278769351768588,2.0,0.5073380840162792,-3.905395850918051e-05,0.5000195269792546,0.002680529477459297,332.48531600111164,3842.44677734375,,,,,,,,,,
