step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,32.0,32.0,0.6868896484375,25.0,74.0,0.33783783783783783,3.0,22.0,0.12,0.88,0.15055795229148208,0.1452127894024111,0.15128683813999177,0.0,0.6,0.0033914772,0.9999999999885092,0.6623951761678495,9.091802777043149e-09,3.0,22.0,0.76,7.333333333333333,1.0,0.5293608364334642,0.36692497127271007,2.0,0.5073925089600401,0.002287690880621085,0.49885615455968946,0.003391143124349684,865.8285340061411,3655.35888671875,,,,,,,,,,
2,1,2,0.0,32.0,32.0,0.688232421875,25.0,74.0,0.33783783783783783,4.0,21.0,0.16,0.84,0.15009839758822105,0.1448064389020687,0.1511063897189167,0.0,0.6,0.0033914772,0.9999999998372882,0.6859818496398313,9.712195230293952e-09,4.0,21.0,0.68,5.25,1.0,0.6343095257866658,0.4396698594013433,2.0,0.5087481119994668,-0.0012467050959667875,0.5006233525479834,0.0033447541040906425,407.0511829922907,3837.14013671875,,,,,,,,,,
3,1,3,0.0,32.0,32.0,0.6922607421875,26.0,74.0,0.35135135135135137,3.0,23.0,0.11538461538461539,0.8846153846153846,0.15046274349914365,0.14660461691597962,0.15096597740129547,0.0,0.6,0.0033914772,0.9999999999349635,0.6804304854522204,3.410263592961134e-09,3.0,23.0,0.7692307692307693,7.666666666666667,1.0,0.5159469011535472,0.3576271398532221,2.0,0.5059928785473711,0.0010297921717056405,0.4994851039141472,0.0018806356756395283,405.71361599722877,3841.92138671875,,,,,,,,,,
4,1,4,0.0,32.0,32.0,0.703125,35.0,74.0,0.47297297297297297,1.0,34.0,0.02857142857142857,0.9714285714285714,0.15049023693548616,0.14534632807881606,0.15064152837244707,0.0,0.6,0.0033914772,0.999999999856995,0.6675975295085583,-8.661870919051114e-11,1.0,34.0,0.9428571428571428,34.0,1.0,0.1871762280193099,0.12974067471943007,2.0,0.5053732242532359,-0.00020173929947158023,0.5001008696497358,0.0018593130579056766,404.64072400936857,3917.1240234375,,,,,,,,,,
5,1,5,0.0,32.0,32.0,0.6873779296875,15.0,74.0,0.20270270270270271,3.0,12.0,0.2,0.8,0.1498189708907413,0.1452987548631775,0.15094902489763226,0.0,0.6,0.0033914772,0.9999999998741468,0.6724668518959855,-2.0492490217876385e-09,3.0,12.0,0.6,4.0,1.0,0.721928066033462,0.5004024035381882,2.0,0.5066212662852501,-0.0013104858953738585,0.5006552429476869,-0.002816038616539613,393.37346600950696,3796.60888671875,,,,,,,,,,
6,1,6,0.0,32.0,32.0,0.685791015625,27.0,74.0,0.36486486486486486,1.0,26.0,0.037037037037037035,0.9629629629629629,0.15123150123206883,0.14625025215205034,0.15142308773514648,0.0,0.6,0.0033914772,0.9999999980668132,0.6741587559288295,2.334336407660407e-09,1.0,26.0,0.9259259259259259,26.0,1.0,0.22853811509962915,0.1584105501317922,2.0,0.5066899834394116,0.0002852880088187939,0.4998573559955906,0.0048979991658226986,403.92882699961774,3893.2529296875,,,,,,,,,,
7,1,7,0.0,32.0,32.0,0.7044677734375,18.0,74.0,0.24324324324324326,2.0,16.0,0.1111111111111111,0.8888888888888888,0.14990778459172452,0.144689197281823,0.15056010800546218,0.0,0.6,0.0033914772,1.0000000001599065,0.6636123831787262,1.1509253503223305e-08,2.0,16.0,0.7777777777777778,8.0,1.0,0.5032583059217456,0.3488320758430324,2.0,0.5071219180659976,0.00017484324052929878,0.49991257837973535,0.003951444324716499,394.41554600489326,3810.42724609375,,,,,,,,,,
8,1,8,0.0,32.0,32.0,0.698974609375,31.0,74.0,0.4189189189189189,4.0,27.0,0.12903225806451613,0.8709677419354839,0.14973383518348446,0.14487970224413796,0.15045296598931354,0.0,0.6,0.0033914772,0.9999999989901993,0.6760292093205966,-1.8716802219877787e-08,4.0,27.0,0.7419354838709677,6.75,1.0,0.5547781344873733,0.384542899756229,2.0,0.506790235169764,-0.00030306590125927726,0.5001515329506296,-0.0075460733176805385,405.8637880079914,3874.35888671875,,,,,,,,,,
9,1,9,0.0,32.0,32.0,0.6912841796875,24.0,74.0,0.32432432432432434,3.0,21.0,0.125,0.875,0.1504524166815539,0.14521055820985782,0.15120125360608191,0.0,0.6,0.0033914772,0.9999999999523954,0.6552519135377447,-1.1971356217800261e-08,3.0,21.0,0.75,7.0,1.0,0.5435644143456962,0.3767701412564372,2.0,0.5081209375748001,0.0008658920505695278,0.49956705397471524,0.008209701958507716,401.35769799235277,3851.39599609375,,,,,,,,,,
10,1,10,0.0,32.0,32.0,0.7127685546875,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15106616485237853,0.0,0.15106616485237853,0.0,0.6,0.0033914772,0.9999999999420304,0.6832996453074435,6.189570295020955e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5047975654393692,0.0016850871033966541,0.4991574564483017,nan,395.08977701188996,3765.42724609375,,,,,,,,,,
11,1,11,0.0,32.0,32.0,0.7012939453125,27.0,74.0,0.36486486486486486,2.0,25.0,0.07407407407407407,0.9259259259259259,0.14982784564385085,0.1448274515543205,0.1502278771710133,0.0,0.6,0.0033914772,1.000000000005422,0.6741664669646451,-2.079545884162467e-08,2.0,25.0,0.8518518518518519,12.5,1.0,0.3809465568514903,0.2640520318256294,2.0,0.5064478577666637,-0.000610838598024404,0.5003054192990122,0.002842265969917567,402.1234330139123,3846.35888671875,,,,,,,,,,
12,1,12,0.0,32.0,32.0,0.6990966796875,4.0,74.0,0.05405405405405406,2.0,2.0,0.5,0.5,0.14808908434499593,0.14675681059585116,0.1494213580941407,0.0,0.6,0.0033914772,0.9999999999917741,0.6632792145977309,-4.313419558844657e-09,2.0,2.0,0.0,1.0,1.0,0.9999999711460994,0.6931471605599454,2.0,0.5063697188500136,0.00022617296053795144,0.499886913519731,0.001347996754332912,388.9742649917025,3765.85888671875,,,,,,,,,,
13,1,13,0.0,32.0,32.0,0.69970703125,31.0,74.0,0.4189189189189189,3.0,28.0,0.0967741935483871,0.9032258064516129,0.15021887396390807,0.1454467816448984,0.15073016956951624,0.0,0.6,0.0033914772,1.0000000002111165,0.6776153747798569,3.4850842226642717e-09,3.0,28.0,0.8064516129032258,9.333333333333334,1.0,0.4586857873466403,0.3179367602622423,2.0,0.5066548553687031,2.8797963525593854e-05,0.4999856010182372,-0.002299524664549484,408.476165990578,3874.99365234375,,,,,,,,,,
14,1,14,0.0,32.0,32.0,0.69677734375,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.15026296115998208,0.0,0.15026296115998208,0.0,0.6,0.0033914772,0.9999999996297335,0.6680011237620659,1.921977244164418e-08,0.0,9.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5061273003686403,0.0002704017097130418,0.4998647991451435,nan,390.7715450040996,3775.89013671875,,,,,,,,,,
15,1,15,0.0,32.0,32.0,0.6905517578125,25.0,74.0,0.33783783783783783,3.0,22.0,0.12,0.88,0.14966249339975535,0.14452323133100445,0.15036330186367594,0.0,0.6,0.0033914772,1.0000000004041534,0.6655432038526151,-1.131273314247484e-08,3.0,22.0,0.76,7.333333333333333,1.0,0.5293608364334642,0.36692497127271007,2.0,0.5069558280652875,-0.0011930136369181059,0.500596506818459,-0.00038337857976585243,398.08119702502154,3841.32763671875,,,,,,,,,,
16,1,16,0.0,32.0,32.0,0.6904296875,19.0,74.0,0.25675675675675674,3.0,16.0,0.15789473684210525,0.8421052631578947,0.1500184423857857,0.1447998138029267,0.15099693524507177,0.0,0.6,0.0033914772,0.9999999994033953,0.6659759619909645,8.111003860719762e-09,3.0,16.0,0.6842105263157895,5.333333333333333,1.0,0.6292491950021343,0.4361623053853446,2.0,0.5064010206143293,0.0003593269260885858,0.49982033653695573,-0.0009725465370660707,396.199782990152,3821.26513671875,,,,,,,,,,
17,1,17,0.0,32.0,32.0,0.6964111328125,22.0,74.0,0.2972972972972973,2.0,20.0,0.09090909090909091,0.9090909090909091,0.1496457476693694,0.14412852776345697,0.15019746965996064,0.0,0.6,0.0033914772,1.0000000009681291,0.6771971932636681,-1.2051793328062e-08,2.0,20.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.5069528972980236,0.0007351597665720398,0.499632420116714,-0.0003643738915646735,399.40747802029364,3832.92724609375,,,,,,,,,,
18,1,18,0.0,32.0,32.0,0.6884765625,26.0,74.0,0.35135135135135137,2.0,24.0,0.07692307692307693,0.9230769230769231,0.14960062700071622,0.1449439191135089,0.14998868599131684,0.0,0.6,0.0033914772,1.00000000077989,0.6738138096921674,4.596832752225296e-09,2.0,24.0,0.8461538461538461,12.0,1.0,0.3912435347753558,0.27118935304184477,2.0,0.5075667222054656,-0.0009404772900875262,0.5004702386450438,-0.0035501783394860575,400.4213269799948,3848.30224609375,,,,,,,,,,
19,1,19,0.0,32.0,32.0,0.696533203125,25.0,74.0,0.33783783783783783,2.0,23.0,0.08,0.92,0.1495898241722824,0.1432491651897996,0.15014118582293307,0.0,0.6,0.0033914772,0.999999999947265,0.6711648448903219,1.9640008416486737e-08,2.0,23.0,0.84,11.5,1.0,0.40217916134837295,0.278769351768588,2.0,0.5050416842956114,0.00036633120094015564,0.4998168343995299,-0.002004511322694238,401.1998040077742,3839.67724609375,,,,,,,,,,
