step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.69207763671875,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.14997383043304516,0.0,0.14997383043304516,0.0,0.6,0.007186250491187631,1.0000000014369315,0.6704123303562288,-2.6802747270568807e-09,0.0,43.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011186588018895,8.78384505052373e-06,0.49999560807747473,nan,1607.861928991042,7693.54833984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.68902587890625,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.1499564589966142,0.0,0.1499564589966142,0.0,0.6,0.007186250491187631,0.9999999992044428,0.6689901718084466,8.039334007302756e-09,0.0,36.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016753284886943,-0.00013748079524295213,0.5000687403976215,nan,1109.7292749909684,7963.43896484375,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.689422607421875,17.0,74.0,0.22972972972972974,0.0,17.0,0.0,1.0,0.1502444025234536,0.0,0.1502444025234536,0.0,0.6,0.007186250491187631,1.0000000000946585,0.665429812326717,-1.3020617320822312e-09,0.0,17.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5022439222907752,0.00033751463064269976,0.49983124268467866,nan,1096.7429130105302,7830.67138671875,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.69512939453125,30.0,74.0,0.40540540540540543,0.0,30.0,0.0,1.0,0.15007986932866837,0.0,0.15007986932866837,0.0,0.6,0.007186250491187631,1.0000000002410199,0.6629683309061344,4.779072597600874e-09,0.0,30.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017883569075425,-0.0001376819576031154,0.5000688409788016,nan,1098.7597159983125,7899.68603515625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.7119903564453125,29.0,74.0,0.3918918918918919,0.0,29.0,0.0,1.0,0.1502055183049639,0.0,0.1502055183049639,0.0,0.6,0.007186250491187631,1.000000000017857,0.6473461795888815,-1.450030291268805e-09,0.0,29.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5034622968990685,0.0001685856950372447,0.4999157071524814,nan,1098.2914350170176,7895.18603515625,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.7078857421875,20.0,74.0,0.2702702702702703,0.0,20.0,0.0,1.0,0.1501626814078074,0.0,0.1501626814078074,0.0,0.6,0.007186250491187631,0.9999999999957144,0.6520465009701591,6.339506014032203e-11,0.0,20.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.503262248634613,5.8427935034009836e-05,0.499970786032483,nan,1111.495218006894,7837.95263671875,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.701751708984375,31.0,74.0,0.4189189189189189,0.0,31.0,0.0,1.0,0.14996210133222734,0.0,0.14996210133222734,0.0,0.6,0.007186250491187631,0.9999999999645339,0.6537257245079171,8.19504977177489e-09,0.0,31.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5021364018159806,0.00026128196094015783,0.49986935901952995,nan,1098.032014007913,7917.68603515625,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.70050048828125,21.0,74.0,0.28378378378378377,0.0,21.0,0.0,1.0,0.1500996677395381,0.0,0.1500996677395381,0.0,0.6,0.007186250491187631,1.000000000013891,0.6614919987528384,-6.597467146515945e-09,0.0,21.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016278017898732,0.00022116414271602505,0.499889417928642,nan,1092.1094639925286,7846.95263671875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.69329833984375,39.0,74.0,0.527027027027027,0.0,39.0,0.0,1.0,0.15007432840146168,0.0,0.15007432840146168,0.0,0.6,0.007186250491187631,1.000000001758337,0.655784525137152,-1.540900419613163e-09,0.0,39.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014009084873923,6.970520338835543e-05,0.49996514739830583,nan,1100.9261189901736,7967.25,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.692474365234375,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.14996474753995612,0.0,0.14996474753995612,0.0,0.6,0.007186250491187631,1.000000000176426,0.6483972914409424,-8.583060557444217e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014173885182742,0.00024923694298695063,0.4998753815285065,nan,1100.0130680040456,7971.75,,,,,,,,,,
11,1,11,0.0,128.0,128.0,0.695220947265625,32.0,74.0,0.43243243243243246,0.0,32.0,0.0,1.0,0.15017808711184769,0.0,0.15017808711184769,0.0,0.6,0.007186250491187631,1.0000000001058944,0.6501772781497106,5.384356442312772e-10,0.0,32.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5028205931677048,0.00017857633450630065,0.4999107118327468,nan,1097.4030409997795,7908.6865234375,,,,,,,,,,
12,1,12,0.0,128.0,128.0,0.695281982421875,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.15007610337001234,0.0,0.15007610337001234,0.0,0.6,0.007186250491187631,1.000000000196452,0.6499216628204169,-8.289118535240095e-10,0.0,41.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014047919104532,8.339895637016643e-05,0.4999583005218149,nan,1098.1810719822533,7976.2509765625,,,,,,,,,,
13,1,13,0.0,128.0,128.0,0.695831298828125,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.15012190761122166,0.0,0.15012190761122166,0.0,0.6,0.007186250491187631,1.000000000029382,0.6365998691790579,-1.2530868879142683e-08,0.0,38.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5018358428998295,0.00026453413825067764,0.49986773293087466,nan,1096.4147849881556,7962.75,,,,,,,,,,
14,1,14,0.0,128.0,128.0,0.69256591796875,39.0,74.0,0.527027027027027,0.0,39.0,0.0,1.0,0.15016782643986074,0.0,0.15016782643986074,0.0,0.6,0.007186250491187631,0.9999999999622206,0.6422397355112028,1.3041625779496211e-10,0.0,39.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5023115880083358,0.0003619237933270104,0.4998190381033365,nan,1099.2688039841596,7967.1875,,,,,,,,,,
15,1,15,0.0,128.0,128.0,0.69073486328125,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.1498302995941348,0.0,0.1498302995941348,0.0,0.6,0.007186250491187631,0.9999999995432873,0.661178118762447,7.151084293263252e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017674705555855,0.00011077302731111475,0.49994461348634445,nan,1100.3073219908401,7971.75,,,,,,,,,,
16,1,16,0.0,128.0,128.0,0.698699951171875,29.0,74.0,0.3918918918918919,0.0,29.0,0.0,1.0,0.14990235660694728,0.0,0.14990235660694728,0.0,0.6,0.007186250491187631,0.9999999999946628,0.6472293638894268,6.850859156200449e-10,0.0,29.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5027839387331149,-0.000176781445938664,0.5000883907229693,nan,1201.1858529876918,7881.68603515625,,,,,,,,,,
17,1,17,0.0,128.0,128.0,0.6851806640625,37.0,74.0,0.5,0.0,37.0,0.0,1.0,0.14990951075016304,0.0,0.14990951075016304,0.0,0.6,0.007186250491187631,1.0000000004447271,0.6508990330932766,6.316251758874791e-10,0.0,37.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5022075962349287,-4.806195295626118e-06,0.5000024030976478,nan,1106.2429650046397,7958.18701171875,,,,,,,,,,
18,1,18,0.0,128.0,128.0,0.692718505859375,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.15008937645260845,0.0,0.15008937645260845,0.0,0.6,0.007186250491187631,0.9999999997740004,0.646134442219151,5.452384715267536e-09,0.0,42.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016448993700243,0.00021872020133354878,0.49989063989933324,nan,1100.739125016844,7995.2509765625,,,,,,,,,,
19,1,19,0.0,128.0,128.0,0.6932373046875,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.14986387183770064,0.0,0.14986387183770064,0.0,0.6,0.007186250491187631,1.0000000027868399,0.6555148827522608,-1.867611016964165e-08,0.0,41.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017373556548123,5.858154666322962e-06,0.4999970709226668,nan,1100.484447000781,7990.75,,,,,,,,,,
20,1,20,0.0,58.0,58.0,0.6968615301724136,21.0,74.0,0.28378378378378377,0.0,21.0,0.0,1.0,0.14993583414988051,0.0,0.14993583414988051,0.0,0.6,0.007186250491187631,0.9999999999638217,0.6590855952899709,3.468849964919858e-10,0.0,21.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.503297971137876,-6.70916588905339e-05,0.5000335458294453,nan,547.9514629987534,4996.279296875,,,,,,,,,,
21,1,21,0.0,128.0,128.0,0.686065673828125,25.0,74.0,0.33783783783783783,1.0,24.0,0.04,0.96,0.14970350317097414,0.14508793051695001,0.14989581869822516,0.0,0.6,0.007186250491187631,1.000000000756246,0.6600404804705904,-8.687437999774209e-09,1.0,24.0,0.92,24.0,1.0,0.24229216022851577,0.16794412773417422,2.0,0.5026007506988674,9.965467448377499e-05,0.4999501726627581,-0.005353088468751311,1097.8402769833338,7874.9111328125,,,,,,,,,,
22,1,22,0.0,128.0,128.0,0.6884002685546875,28.0,74.0,0.3783783783783784,0.0,28.0,0.0,1.0,0.1501544135884063,0.0,0.1501544135884063,0.0,0.6,0.007186250491187631,0.9999999998632813,0.6556825976586929,1.0031369699102472e-09,0.0,28.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5019930191290666,6.702835724519736e-05,0.4999664858213774,nan,1098.398594011087,7904.16162109375,,,,,,,,,,
