step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.69207763671875,48.0,74.0,0.6486486486486487,0.0,48.0,0.0,1.0,0.08570694100141758,0.0,0.08570694100141758,0.0,0.6,0.0018937347867548518,0.999999998934812,0.6704123534524437,-1.9734731754240507e-10,0.0,48.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5010756130115623,4.878826263754083e-06,0.4999975605868681,nan,1892.0360629854258,7687.48583984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.68902587890625,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.08566422156126971,0.0,0.08566422156126971,0.0,0.6,0.0018937347867548518,1.0000000008712602,0.668990157452739,2.1354626923324144e-08,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016580032320173,-0.00011338441407342501,0.5000566922070367,nan,1406.1495839850977,8071.27685546875,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.689422607421875,37.0,74.0,0.5,0.0,37.0,0.0,1.0,0.0857269108543481,0.0,0.0857269108543481,0.0,0.6,0.0018937347867548518,0.9999999994320485,0.6654298149018972,-1.4981377568529148e-08,0.0,37.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5023664704068164,0.00012683629092466816,0.49993658185453765,nan,1406.0539900092408,7974.68896484375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.695159912109375,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.08577717204644905,0.0,0.08577717204644905,0.0,0.6,0.0018937347867548518,0.9999999987944228,0.6629863370281985,6.49378422056167e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015138176084547,-9.06725591169624e-05,0.5000453362795585,nan,1406.615479994798,8020.69091796875,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.7119598388671875,42.0,74.0,0.5675675675675675,1.0,41.0,0.023809523809523808,0.9761904761904762,0.08580153394130116,0.08325439415726234,0.08586365930188748,0.0,0.6,0.0018937347867548518,1.0000000000482494,0.6472836969188793,-1.661718525906871e-09,1.0,41.0,0.9523809523809523,41.0,1.0,0.16232615132149514,0.11251591411964139,2.0,0.5039300580127323,-2.767136924430952e-05,0.5000138356846222,0.016757046068883067,1402.4157189996913,8002.189453125,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.7080535888671875,42.0,74.0,0.5675675675675675,3.0,39.0,0.07142857142857142,0.9285714285714286,0.0858651205937914,0.08361323214137244,0.086038342782439,0.0,0.6,0.0018937347867548518,1.0000000001532134,0.6519704882055274,8.4858353543143e-09,3.0,39.0,0.8571428571428571,13.0,1.0,0.3712322977869758,0.2573186205438323,2.0,0.5052849494006981,0.0004271640197547623,0.49978641799012263,0.0056405532954521,1409.3450999935158,8011.6845703125,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.70172119140625,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.08569967281972678,0.0,0.08569967281972678,0.0,0.6,0.0018937347867548518,1.0000000000693172,0.6537458997567591,8.497088063194077e-09,0.0,43.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5024334896061587,0.00018977337729104147,0.49990511331135445,nan,1405.5125330050942,8015.6904296875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.70062255859375,46.0,74.0,0.6216216216216216,0.0,46.0,0.0,1.0,0.0857665524937312,0.0,0.0857665524937312,0.0,0.6,0.0018937347867548518,0.9999999993752969,0.6600669931898764,-1.593204358563851e-08,0.0,46.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016195859922291,0.0001784389892166543,0.49991078050539167,nan,1409.2423479887657,8042.69091796875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.693511962890625,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.08574573801136191,0.0,0.08574573801136191,0.0,0.6,0.0018937347867548518,0.9999999965080694,0.6558050852716601,1.013222078167271e-08,0.0,49.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014243871799627,-3.45931123879158e-05,0.500017296556194,nan,1406.5663279907312,8071.44140625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.69256591796875,49.0,74.0,0.6621621621621622,1.0,48.0,0.02040816326530612,0.9795918367346939,0.08561436569002692,0.08355504860934417,0.0856572681292078,0.0,0.6,0.0018937347867548518,1.000000001843289,0.6484829098403719,1.1541352984909695e-08,1.0,48.0,0.9591836734693877,48.0,1.0,0.14372614108548448,0.09962336946616449,2.0,0.5016810797282336,0.00027412692725192755,0.49986293653637404,-0.0014250080217448216,1410.1095120131504,8069.31640625,,,,,,,,,,
