step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.69195556640625,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.1499878847657203,0.0,0.1499878847657203,0.0,0.6,0.0018937347867548518,1.0000000012484698,0.6686253928045797,4.603267891117118e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.501126002825326,7.577997618091435e-05,0.49996211001190954,nan,1597.0914770150557,7688.48583984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.69732666015625,44.0,74.0,0.5945945945945946,1.0,43.0,0.022727272727272728,0.9772727272727273,0.14994206152010836,0.14730517732644782,0.15000338440833302,0.0,0.6,0.0018937347867548518,0.9999999994902713,0.6812030183330627,5.947191746576715e-09,1.0,43.0,0.9545454545454546,43.0,1.0,0.15649103405180387,0.10847131903591825,2.0,0.501493595084772,0.0003309018437508933,0.4998345490781246,-0.0025933558966307092,1112.211669998942,8048.525390625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.698883056640625,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14998853370841186,0.0,0.14998853370841186,0.0,0.6,0.0018937347867548518,1.0000000006435337,0.6830419832610333,-5.183696592981316e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011700030923214,5.603258902585078e-06,0.49999719837054873,nan,1102.8243500040844,8030.87060546875,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.68841552734375,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.1500122321222473,0.0,0.1500122321222473,0.0,0.6,0.0018937347867548518,0.9999999998011734,0.6655630942942049,2.81722293236919e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016235647200014,8.403786325726971e-05,0.49995798106837136,nan,1098.830610018922,8058.59765625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.697052001953125,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14995266638359148,0.0,0.14995266638359148,0.0,0.6,0.0018937347867548518,0.9999999992842306,0.6792208660625159,7.669724505649106e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013475246683826,6.550203067278777e-05,0.4999672489846636,nan,1100.2438029972836,8018.09716796875,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6911468505859375,46.0,74.0,0.6216216216216216,0.0,46.0,0.0,1.0,0.1500589475824914,0.0,0.1500589475824914,0.0,0.6,0.0018937347867548518,0.999999999423591,0.6771881073756862,-2.209467320625904e-09,0.0,46.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011952605787178,9.23624884867772e-05,0.4999538187557566,nan,1103.8554599799681,8054.09716796875,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6834259033203125,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.1499736089865129,0.0,0.1499736089865129,0.0,0.6,0.0018937347867548518,1.000000001223813,0.6738356926414898,-9.925723143890175e-09,0.0,45.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014945935708368,5.724030565293755e-05,0.49997137984717355,nan,1101.0248870006762,8049.59716796875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.690582275390625,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.14989537403306166,0.0,0.14989537403306166,0.0,0.6,0.0018937347867548518,0.9999999998400598,0.6667446926154228,7.736278846164743e-09,0.0,45.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015013702044419,-6.337899685604498e-05,0.500031689498428,nan,1098.587740008952,8049.59716796875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.7076263427734375,32.0,74.0,0.43243243243243246,0.0,32.0,0.0,1.0,0.15014459818056636,0.0,0.15014459818056636,0.0,0.6,0.0018937347867548518,1.0000000000004374,0.6666902564541219,2.443761554414746e-09,0.0,32.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5031359993673497,-0.00013566058195839801,0.5000678302909792,nan,1093.056773999706,7923.5947265625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.7199554443359375,25.0,74.0,0.33783783783783783,0.0,25.0,0.0,1.0,0.15008281751143068,0.0,0.15008281751143068,0.0,0.6,0.0018937347867548518,0.9999999998415129,0.6669235360253748,5.226362408447163e-09,0.0,25.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5020710291142249,0.00011382069715182297,0.4999430896514241,nan,1099.87076302059,7868.20458984375,,,,,,,,,,
