step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.69195556640625,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.1499874001075387,0.0,0.1499874001075387,0.0,0.6,0.0018937347867548518,0.999999999707017,0.668625401762075,-3.732559851336371e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011710421938487,7.578168403935946e-05,0.49996210915798034,nan,1882.7431260142475,7688.48583984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.69732666015625,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14993974444826239,0.0,0.14993974444826239,0.0,0.6,0.0018937347867548518,0.9999999995180676,0.6812030171696788,1.595877784487057e-08,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015533360359998,0.00029542814184612825,0.49985228592907693,nan,1389.804242993705,8050.7763671875,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.698883056640625,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.1499881282394073,0.0,0.1499881282394073,0.0,0.6,0.0018937347867548518,1.0000000013174222,0.68304189279849,6.6470238188667515e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5012165075275488,5.5765809916596086e-06,0.4999972117095042,nan,1390.0462680030614,8031.87060546875,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.68841552734375,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.15001562096399867,0.0,0.15001562096399867,0.0,0.6,0.0018937347867548518,1.000000000568406,0.6654787051926786,-6.968471616511823e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017149509802701,8.75914302279826e-05,0.499956204284886,nan,1388.7218879826833,8059.59765625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.697113037109375,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.149950729943649,0.0,0.149950729943649,0.0,0.6,0.0018937347867548518,0.9999999999647494,0.6795465541813559,2.157684795256868e-08,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.501414226490273,4.1210692017381604e-05,0.4999793946539913,nan,1391.305363009451,8019.09716796875,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6910400390625,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.15006172526729444,0.0,0.15006172526729444,0.0,0.6,0.0018937347867548518,1.000000000334594,0.6775597170198648,1.1863420678891779e-08,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011346790761594,8.55420042359821e-05,0.49995722899788203,nan,1385.758194985101,8073.09716796875,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6832275390625,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.14996050142100426,0.0,0.14996050142100426,0.0,0.6,0.0018937347867548518,1.0000000009006504,0.6739507817459511,-1.2085741551681439e-08,0.0,45.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015102497040803,5.955392446464559e-05,0.49997022303776767,nan,1390.9626020176802,8050.59716796875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.690460205078125,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.14988641751997175,0.0,0.14988641751997175,0.0,0.6,0.0018937347867548518,0.9999999967098406,0.6664834555298652,-9.667264502752648e-10,0.0,45.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015967687641537,-6.285315066634212e-05,0.5000314265753332,nan,1388.28575698426,8050.59716796875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.7076416015625,35.0,74.0,0.47297297297297297,0.0,35.0,0.0,1.0,0.15010326726003584,0.0,0.15010326726003584,0.0,0.6,0.0018937347867548518,1.0000000000225007,0.6667915746848525,-3.058482111131087e-09,0.0,35.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5032532588373632,-4.5680130636673465e-05,0.5000228400653184,nan,1388.7139970029239,7938.09521484375,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.7196197509765625,24.0,74.0,0.32432432432432434,0.0,24.0,0.0,1.0,0.15008615031485673,0.0,0.15008615031485673,0.0,0.6,0.0018937347867548518,1.0000000000802003,0.6667686667927578,-2.7936470373791897e-10,0.0,24.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5024583572509084,0.00010083554958810611,0.49994958222520597,nan,1380.4431819880847,7866.95458984375,,,,,,,,,,
11,1,11,0.0,128.0,128.0,0.680633544921875,39.0,74.0,0.527027027027027,0.0,39.0,0.0,1.0,0.15007888662815722,0.0,0.15007888662815722,0.0,0.6,0.0018937347867548518,0.9999999994264143,0.6609362744695475,1.48079093136042e-08,0.0,39.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.502138369234557,0.00025976059241309335,0.49987011970379347,nan,1396.2643640115857,7996.595703125,,,,,,,,,,
12,1,12,0.0,128.0,128.0,0.6919097900390625,46.0,74.0,0.6216216216216216,0.0,46.0,0.0,1.0,0.15010917555266987,0.0,0.15010917555266987,0.0,0.6,0.0018937347867548518,1.000000000274873,0.6684943508706257,1.1506222166991164e-09,0.0,46.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013428778410157,4.521984396538196e-05,0.49997739007801734,nan,1382.2990589833353,8055.09716796875,,,,,,,,,,
13,1,13,0.0,128.0,128.0,0.69232177734375,48.0,74.0,0.6486486486486487,0.0,48.0,0.0,1.0,0.1499298916281403,0.0,0.1499298916281403,0.0,0.6,0.0018937347867548518,1.000000000107583,0.6695554458200457,8.556142139346728e-09,0.0,48.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014540293412181,0.00012993836566991,0.49993503081716506,nan,1395.0747229973786,8077.59765625,,,,,,,,,,
14,1,14,0.0,128.0,128.0,0.699371337890625,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.1499717558440234,0.0,0.1499717558440234,0.0,0.6,0.0018937347867548518,0.999999999904278,0.6521048032482609,1.204745509735593e-08,0.0,43.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.502020734660018,0.00013969211286928563,0.4999301539435654,nan,1387.4664299946744,8028.0966796875,,,,,,,,,,
15,1,15,0.0,128.0,128.0,0.69024658203125,51.0,74.0,0.6891891891891891,0.0,51.0,0.0,1.0,0.14995506584520057,0.0,0.14995506584520057,0.0,0.6,0.0018937347867548518,0.9999999916604271,0.6651573235935826,7.912062723929214e-09,0.0,51.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013991755744991,0.00022431744579834767,0.49988784127710084,nan,1396.260440000333,8118.09765625,,,,,,,,,,
16,1,16,0.0,128.0,128.0,0.68975830078125,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.14966281139541943,0.0,0.14966281139541943,0.0,0.6,0.0018937347867548518,1.0000000004778433,0.6633628441735171,2.163960365360093e-08,0.0,42.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5032275068151205,0.00017648728077047246,0.49991175635961477,nan,1483.8461139879655,8010.0966796875,,,,,,,,,,
17,1,17,0.0,128.0,128.0,0.696807861328125,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.14998429767067553,0.0,0.14998429767067553,0.0,0.6,0.0018937347867548518,0.9999999992651334,0.6587067676493035,1.524553645494669e-08,0.0,45.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014603777383303,0.00015435193261380067,0.4999228240336931,nan,1391.5375040087383,8050.59716796875,,,,,,,,,,
18,1,18,0.0,128.0,128.0,0.697601318359375,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.14983274355145526,0.0,0.14983274355145526,0.0,0.6,0.0018937347867548518,0.99999999975466,0.6659308287324458,2.7375698946843997e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015825856826502,0.00026766556063631395,0.49986616721968186,nan,1389.051581005333,7987.595703125,,,,,,,,,,
19,1,19,0.0,128.0,128.0,0.693145751953125,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.15006287960079356,0.0,0.15006287960079356,0.0,0.6,0.0018937347867548518,0.9999999994062496,0.6644698940953201,2.4550322980085117e-09,0.0,45.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011031787985596,0.00040454690783267973,0.4997977265460837,nan,1388.9948219875805,8050.59716796875,,,,,,,,,,
20,1,20,0.0,58.0,58.0,0.6897225215517241,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.14982543011456148,0.0,0.14982543011456148,0.0,0.6,0.0018937347867548518,0.9999999989289237,0.6711610564950837,-8.939970094214643e-10,0.0,36.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5028269289737541,5.669110306952775e-05,0.49997165444846525,nan,686.2334990000818,5090.6328125,,,,,,,,,,
21,1,21,0.0,128.0,128.0,0.689849853515625,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.15002313412619406,0.0,0.15002313412619406,0.0,0.6,0.0018937347867548518,1.0000000002890659,0.6626383989811799,4.5736063243532175e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013359453509643,0.00019337384078921383,0.4999033130796054,nan,1386.2237859866582,8032.59716796875,,,,,,,,,,
