step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.69195556640625,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.1499874001075387,0.0,0.1499874001075387,0.0,0.6,0.0018937347867548518,0.999999999707017,0.668625401762075,-3.732559851336371e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5011710421938487,7.578168403935946e-05,0.49996210915798034,nan,1611.9949590065517,7695.79833984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.69732666015625,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14993974444826239,0.0,0.14993974444826239,0.0,0.6,0.0018937347867548518,0.9999999995180676,0.6812030171696788,1.595877784487057e-08,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015533360359998,0.00029542814184612825,0.49985228592907693,nan,1113.070864987094,8031.1826171875,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.698944091796875,22.0,74.0,0.2972972972972973,0.0,22.0,0.0,1.0,0.14992772445747007,0.0,0.14992772445747007,0.0,0.6,0.0018937347867548518,1.0000000000647487,0.6642521141951048,6.031144555374519e-09,0.0,22.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013200982268092,-7.108835127102593e-05,0.5000355441756356,nan,1092.8480300062802,7861.41552734375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.688568115234375,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.1500218574630461,0.0,0.1500218574630461,0.0,0.6,0.0018937347867548518,1.0000000001422933,0.6657435146590283,-1.8848234886995376e-08,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5018259982035851,0.0001504886658020134,0.499924755667099,nan,1105.8415420120582,8052.22265625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6962432861328125,30.0,74.0,0.40540540540540543,0.0,30.0,0.0,1.0,0.14988933911433597,0.0,0.14988933911433597,0.0,0.6,0.0018937347867548518,0.9999999994502925,0.6645556725771883,1.6168097997813656e-10,0.0,30.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013651515187495,2.6535988767481797e-05,0.4999867320056163,nan,1091.4942600065842,7920.490234375,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.69122314453125,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.15000898946528574,0.0,0.15000898946528574,0.0,0.6,0.0018937347867548518,1.0000000029998768,0.6790237791206013,9.538232990726844e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5010885675924523,0.00015341521635235593,0.4999232923918238,nan,1101.4873149979394,8064.55810546875,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6832733154296875,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.14994744284106115,0.0,0.14994744284106115,0.0,0.6,0.0018937347867548518,1.0000000003872989,0.6738208343680423,-4.783608592602732e-09,0.0,45.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015409845275165,7.189783173089381e-05,0.49996405108413455,nan,1103.4689449879806,8042.05810546875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.691162109375,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14996406187517655,0.0,0.14996406187517655,0.0,0.6,0.0018937347867548518,1.0000000012160324,0.6669231856072371,-8.27453433543647e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015779514301739,7.536587797386467e-05,0.4999623170610131,nan,1101.506970997434,8037.5576171875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.710113525390625,27.0,74.0,0.36486486486486486,0.0,27.0,0.0,1.0,0.1502860737736247,0.0,0.1502860737736247,0.0,0.6,0.0018937347867548518,1.0000000001378508,0.6676343800824422,-2.0607788550413218e-09,0.0,27.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.503176165976632,-0.0002819323606841252,0.5001409661803421,nan,1088.327649020357,7868.95458984375,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.7210693359375,10.0,74.0,0.13513513513513514,0.0,10.0,0.0,1.0,0.1503029956505887,0.0,0.1503029956505887,0.0,0.6,0.0018937347867548518,0.9999999999523305,0.6664491445090353,4.653188924827842e-09,0.0,10.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017680979206729,0.000657705997582525,0.49967114700120874,nan,1073.2157770253252,7798.45458984375,,,,,,,,,,
