step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6981201171875,332.60661602253094,2289.31787109375,,,,,
2,1,2,0.0,32.0,32.0,0.69482421875,45.74769700411707,3164.74072265625,,,,,
3,1,3,0.0,32.0,32.0,0.690185546875,42.24875499494374,2809.466796875,,,,,
4,1,4,0.0,32.0,32.0,0.7071533203125,43.393171043135226,2892.62841796875,,,,,
5,1,5,0.0,32.0,32.0,0.669677734375,44.355073012411594,2892.62841796875,,,,,
6,1,6,0.0,32.0,32.0,0.696044921875,39.044174016453326,2694.90576171875,,,,,
7,1,7,0.0,32.0,32.0,0.691650390625,37.69109502900392,2664.1171875,,,,,
8,1,8,0.0,32.0,32.0,0.6844482421875,39.81989802559838,2763.15869140625,,,,,
9,1,9,0.0,32.0,32.0,0.67926025390625,38.048472022637725,2518.80322265625,,,,,
10,1,10,0.0,32.0,32.0,0.67919921875,38.14519295701757,2546.61767578125,,,,,
11,1,11,0.0,32.0,32.0,0.66680908203125,38.67422399343923,2707.95849609375,,,,,
12,1,12,0.0,32.0,32.0,0.69927978515625,39.00990303372964,2724.2548828125,,,,,
13,1,13,0.0,32.0,32.0,0.6719970703125,39.439881045836955,2763.15869140625,,,,,
14,1,14,0.0,32.0,32.0,0.684326171875,37.88983600679785,2622.330078125,,,,,
15,1,15,0.0,32.0,32.0,0.68798828125,38.984945975244045,2571.2744140625,,,,,
16,1,16,0.0,32.0,32.0,0.6732177734375,39.33370701270178,2733.2451171875,,,,,
17,1,17,0.0,32.0,32.0,0.7344970703125,39.59816601127386,2763.15869140625,,,,,
18,1,18,0.0,32.0,32.0,0.674560546875,47.98975301673636,2935.95556640625,,,,,
19,1,19,0.0,32.0,32.0,0.70086669921875,50.08816497866064,2694.90576171875,,,,,
20,1,20,0.0,32.0,32.0,0.7001953125,53.10774000827223,2592.0869140625,,,,,
21,1,21,0.0,32.0,32.0,0.71246337890625,57.74745100643486,2892.62841796875,,,,,
22,1,22,0.0,32.0,32.0,0.68524169921875,62.674613029230386,2972.033203125,,,,,
23,1,23,0.0,32.0,32.0,0.7171630859375,60.203601024113595,3009.31982421875,,,,,
24,1,24,0.0,32.0,32.0,0.701904296875,50.258553004823625,2809.466796875,,,,,
25,1,25,0.0,32.0,32.0,0.717041015625,47.47342597693205,2901.8369140625,,,,,
26,1,26,0.0,32.0,32.0,0.69921875,42.88416000781581,2789.63330078125,,,,,
27,1,27,0.0,32.0,32.0,0.70477294921875,47.88472200743854,3022.36083984375,,,,,
28,1,28,0.0,32.0,32.0,0.701171875,39.54909497406334,2611.14306640625,,,,,
