step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6981201171875,339.45700502954423,2289.31787109375,,,,,
2,1,2,0.0,32.0,32.0,0.7117919921875,48.480690049473196,3164.74072265625,,,,,
3,1,3,0.0,32.0,32.0,0.6859130859375,42.53531602444127,2809.466796875,,,,,
4,1,4,0.0,32.0,32.0,0.6995849609375,42.845994990784675,2892.62841796875,,,,,
5,1,5,0.0,32.0,32.0,0.6868896484375,43.98690100060776,2892.62841796875,,,,,
6,1,6,0.0,32.0,32.0,0.69091796875,37.648134981282055,2694.90576171875,,,,,
7,1,7,0.0,32.0,32.0,0.6842041015625,37.476680998224765,2664.1171875,,,,,
8,1,8,0.0,32.0,32.0,0.6822509765625,40.003810019697994,2763.15869140625,,,,,
9,1,9,0.0,32.0,32.0,0.65185546875,38.44953398220241,2518.80322265625,,,,,
10,1,10,0.0,32.0,32.0,0.65838623046875,38.28108200104907,2546.61767578125,,,,,
11,1,11,0.0,32.0,32.0,0.621978759765625,38.824442017357796,2707.95849609375,,,,,
12,1,12,0.0,32.0,32.0,0.801116943359375,38.9110500109382,2724.2548828125,,,,,
13,1,13,0.0,32.0,32.0,0.592193603515625,39.29995599901304,2763.15869140625,,,,,
14,1,14,0.0,32.0,32.0,0.641693115234375,37.459413055330515,2622.330078125,,,,,
15,1,15,0.0,32.0,32.0,0.61895751953125,38.01367396954447,2571.2744140625,,,,,
16,1,16,0.0,32.0,32.0,0.577392578125,39.88959803245962,2733.2451171875,,,,,
17,1,17,0.0,32.0,32.0,0.58587646484375,40.24097300134599,2763.15869140625,,,,,
18,1,18,0.0,32.0,32.0,0.5923004150390625,49.383884004782885,2935.95556640625,,,,,
19,1,19,0.0,32.0,32.0,0.6505508422851562,50.08598603308201,2694.90576171875,,,,,
20,1,20,0.0,32.0,32.0,0.3387908935546875,53.76012501074001,2592.0869140625,,,,,
21,1,21,0.0,32.0,32.0,0.44330596923828125,57.694066024851054,2892.62841796875,,,,,
22,1,22,0.0,32.0,32.0,0.46868896484375,62.16666504042223,2972.033203125,,,,,
23,1,23,0.0,32.0,32.0,0.523956298828125,60.04694401053712,3009.31982421875,,,,,
24,1,24,0.0,32.0,32.0,0.5281829833984375,50.37681799149141,2809.466796875,,,,,
25,1,25,0.0,32.0,32.0,0.5241241455078125,47.01098095392808,2901.8369140625,,,,,
26,1,26,0.0,32.0,32.0,0.406646728515625,42.46356297517195,2789.63330078125,,,,,
27,1,27,0.0,32.0,32.0,0.3561248779296875,48.173569957725704,3022.36083984375,,,,,
28,1,28,0.0,32.0,32.0,0.4154510498046875,39.44424696965143,2611.14306640625,,,,,
29,1,29,0.0,32.0,32.0,0.43474578857421875,43.06027997517958,2879.97607421875,,,,,
30,1,30,0.0,32.0,32.0,0.41777801513671875,39.799491001758724,2763.15869140625,,,,,
31,1,31,0.0,32.0,32.0,0.5680732727050781,39.203922962769866,2724.2548828125,,,,,
32,1,32,0.0,32.0,32.0,0.8317604064941406,44.53260399168357,2935.95556640625,,,,,
33,1,33,0.0,32.0,32.0,0.8820037841796875,47.41938604274765,2968.51416015625,,,,,
34,1,34,0.0,32.0,32.0,0.7910614013671875,41.85512999538332,2763.15869140625,,,,,
35,1,35,0.0,32.0,32.0,0.8380279541015625,46.18731403024867,2968.51416015625,,,,,
36,1,36,0.0,32.0,32.0,0.32198333740234375,48.780928016640246,3068.5927734375,,,,,
37,1,37,0.0,32.0,32.0,0.4742431640625,41.58162500243634,2724.2548828125,,,,,
38,1,38,0.0,32.0,32.0,0.782562255859375,46.23804800212383,2892.62841796875,,,,,
39,1,39,0.0,32.0,32.0,0.8405494689941406,44.3421570234932,2724.2548828125,,,,,
40,1,40,0.0,32.0,32.0,0.489837646484375,53.412824985571206,2935.95556640625,,,,,
41,1,41,0.0,32.0,32.0,0.722869873046875,50.25934398872778,2763.15869140625,,,,,
42,1,42,0.0,32.0,32.0,0.48433685302734375,58.47662501037121,3022.36083984375,,,,,
43,1,43,0.0,32.0,32.0,0.4494476318359375,49.144325021188706,2664.1171875,,,,,
44,1,44,0.0,32.0,32.0,0.428436279296875,48.618560016620904,2724.2548828125,,,,,
45,1,45,0.0,32.0,32.0,0.4664459228515625,53.2489990000613,2968.51416015625,,,,,
46,1,46,0.0,32.0,32.0,0.3733978271484375,44.680538994725794,2707.95849609375,,,,,
47,1,47,0.0,32.0,32.0,0.46435546875,42.328780982643366,2571.2744140625,,,,,
48,1,48,0.0,32.0,32.0,0.4773712158203125,42.44740499416366,2763.15869140625,,,,,
49,1,49,0.0,32.0,32.0,0.42010498046875,45.09312298614532,2879.97607421875,,,,,
50,1,50,0.0,32.0,32.0,0.3721923828125,40.49264098284766,2664.1171875,,,,,
51,1,51,0.0,32.0,32.0,0.2043609619140625,40.900024003349245,2724.2548828125,,,,,
52,1,52,0.0,32.0,32.0,0.38053131103515625,40.28051201021299,2733.2451171875,,,,,
53,1,53,0.0,32.0,32.0,0.46057891845703125,46.125186956487596,2968.51416015625,,,,,
54,1,54,0.0,32.0,32.0,0.453369140625,40.10572796687484,2694.90576171875,,,,,
55,1,55,0.0,32.0,32.0,0.49639892578125,46.46783898351714,2976.51171875,,,,,
56,1,56,0.0,32.0,32.0,0.38791656494140625,41.70788801275194,2733.2451171875,,,,,
57,1,57,0.0,32.0,32.0,0.44515228271484375,40.183155972044915,2707.95849609375,,,,,
58,1,58,0.0,32.0,32.0,0.3055419921875,47.010728041641414,2904.5517578125,,,,,
59,1,59,0.0,32.0,32.0,0.5056953430175781,43.09185897000134,2789.63330078125,,,,,
60,1,60,0.0,32.0,32.0,0.339508056640625,43.21101802634075,2789.63330078125,,,,,
61,1,61,0.0,32.0,32.0,0.32210540771484375,47.951971006114036,2820.634765625,,,,,
62,1,62,0.0,32.0,32.0,0.34313201904296875,50.148569978773594,2879.97607421875,,,,,
