step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.689208984375,401.54222899582237,4604.93310546875,,,,,
2,1,2,0.0,128.0,128.0,0.692047119140625,98.12749997945502,5437.8818359375,,,,,
3,1,3,0.0,128.0,128.0,0.689910888671875,112.96770302578807,5754.1923828125,,,,,
4,1,4,0.0,128.0,128.0,0.6786956787109375,118.06640599388629,6048.0986328125,,,,,
5,1,5,0.0,128.0,128.0,0.691009521484375,115.08906097151339,5754.0048828125,,,,,
6,1,6,0.0,128.0,128.0,0.6843719482421875,135.05652197636664,6523.1064453125,,,,,
7,1,7,0.0,128.0,128.0,0.686981201171875,166.97506699711084,6216.7392578125,,,,,
8,1,8,0.0,128.0,128.0,0.701385498046875,169.0029869787395,6395.6767578125,,,,,
9,1,9,0.0,128.0,128.0,0.696807861328125,123.38904896751046,5872.3603515625,,,,,
10,1,10,0.0,128.0,128.0,0.6804046630859375,122.94745998224244,6166.24755859375,,,,,
11,1,11,0.0,128.0,128.0,0.666961669921875,124.28944394923747,6395.6767578125,,,,,
12,1,12,0.0,128.0,128.0,0.6312255859375,139.47148801526055,6658.1806640625,,,,,
13,1,13,0.0,128.0,128.0,0.543609619140625,138.07422399986535,6520.9189453125,,,,,
14,1,14,0.0,128.0,128.0,0.4416999816894531,133.18664097459987,5668.10693359375,,,,,
15,1,15,0.0,128.0,128.0,0.34392547607421875,188.30619502114132,7043.2587890625,,,,,
16,1,16,0.0,128.0,128.0,0.41831207275390625,117.98346304567531,5330.29833984375,,,,,
17,1,17,0.0,128.0,128.0,0.4302978515625,141.26081304857507,6520.9189453125,,,,,
18,1,18,0.0,128.0,128.0,0.45531177520751953,124.4097679737024,6168.56005859375,,,,,
19,1,19,0.0,128.0,128.0,0.3373451232910156,108.62092999741435,5437.5068359375,,,,,
20,1,20,0.0,128.0,128.0,0.4070158004760742,112.78089100960642,5496.87255859375,,,,,
21,1,21,0.0,128.0,128.0,0.46784114837646484,122.57161398883909,5668.10693359375,,,,,
22,1,22,0.0,128.0,128.0,0.40584373474121094,141.12095697782934,6048.7861328125,,,,,
23,1,23,0.0,128.0,128.0,0.33182430267333984,129.82554599875584,5496.87255859375,,,,,
24,1,24,0.0,128.0,128.0,0.4984416961669922,127.67814705148339,5872.3603515625,,,,,
25,1,25,0.0,128.0,128.0,0.2917203903198242,115.68615399301052,5496.87255859375,,,,,
26,1,26,0.0,128.0,128.0,0.38193416595458984,123.7351429881528,6048.7861328125,,,,,
27,1,27,0.0,128.0,128.0,0.3006863594055176,102.4242130224593,5242.4033203125,,,,,
28,1,28,0.0,128.0,128.0,0.3421049118041992,121.12346704816446,6048.7861328125,,,,,
29,1,29,0.0,128.0,128.0,0.3478403091430664,145.41776099940762,6520.9189453125,,,,,
30,1,30,0.0,128.0,128.0,0.30512428283691406,131.15804502740502,5668.10693359375,,,,,
31,1,31,0.0,128.0,128.0,0.31717395782470703,126.74737098859623,5560.8017578125,,,,,
32,1,32,0.0,128.0,128.0,0.325439453125,108.62123698461801,5033.84521484375,,,,,
33,1,33,0.0,128.0,128.0,0.44606542587280273,124.0690280101262,5896.3408203125,,,,,
34,1,34,0.0,128.0,128.0,0.39899349212646484,130.4961100104265,6301.6103515625,,,,,
35,1,35,0.0,128.0,128.0,0.3805065155029297,108.35519497049972,5330.29833984375,,,,,
36,1,36,0.0,128.0,128.0,0.3444690704345703,117.78941296506673,5754.0048828125,,,,,
37,1,37,0.0,128.0,128.0,0.35825634002685547,145.3778029535897,6520.9189453125,,,,,
38,1,38,0.0,128.0,128.0,0.19881582260131836,169.26906496519223,7084.6611328125,,,,,
39,1,39,0.0,128.0,128.0,0.2674384117126465,127.53774499287829,5560.8017578125,,,,,
40,1,40,0.0,128.0,128.0,0.2948579788208008,137.98646698705852,6218.3642578125,,,,,
41,1,41,0.0,128.0,128.0,0.4189925193786621,117.5556110101752,5560.8017578125,,,,,
42,1,42,0.0,128.0,128.0,0.35542821884155273,98.24525500880554,4896.4775390625,,,,,
43,1,43,0.0,128.0,128.0,0.2934432029724121,122.32030503218994,5964.7197265625,,,,,
44,1,44,0.0,128.0,128.0,0.2809584140777588,134.90573200397193,6395.1142578125,,,,,
45,1,45,0.0,128.0,128.0,0.3440580368041992,133.2548260106705,6168.56005859375,,,,,
