step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6951904296875,332.5869960244745,2303.57958984375,,,,,
2,1,2,0.0,32.0,32.0,0.6988525390625,45.727485965471715,2918.1923828125,,,,,
3,1,3,0.0,32.0,32.0,0.683837890625,41.42560402397066,2777.34619140625,,,,,
4,1,4,0.0,32.0,32.0,0.6717529296875,39.22150796279311,2646.673828125,,,,,
5,1,5,0.0,32.0,32.0,0.7091064453125,38.41867402661592,2794.08642578125,,,,,
6,1,6,0.0,32.0,32.0,0.6787109375,41.301134042441845,2777.34619140625,,,,,
7,1,7,0.0,32.0,32.0,0.722412109375,42.50425600912422,2826.119140625,,,,,
8,1,8,0.0,32.0,32.0,0.70587158203125,40.06579198176041,2794.08642578125,,,,,
9,1,9,0.0,32.0,32.0,0.669189453125,39.218719000928104,2738.1298828125,,,,,
10,1,10,0.0,32.0,32.0,0.609375,42.48781397473067,2879.85107421875,,,,,
11,1,11,0.0,32.0,32.0,0.8188018798828125,39.09172100247815,2738.1298828125,,,,,
12,1,12,0.0,32.0,32.0,0.6839599609375,44.50705402996391,2920.4580078125,,,,,
13,1,13,0.0,32.0,32.0,0.60003662109375,41.331721004098654,2794.08642578125,,,,,
14,1,14,0.0,32.0,32.0,0.64007568359375,45.96816300181672,2920.4580078125,,,,,
15,1,15,0.0,32.0,32.0,0.5956954956054688,48.38760197162628,2983.38671875,,,,,
16,1,16,0.0,32.0,32.0,0.61376953125,40.30736401909962,2706.31787109375,,,,,
17,1,17,0.0,32.0,32.0,0.533172607421875,41.638609021902084,2670.6015625,,,,,
18,1,18,0.0,32.0,32.0,0.46285247802734375,59.20488300034776,2920.4580078125,,,,,
19,1,19,0.0,32.0,32.0,0.639068603515625,54.6258749673143,2794.08642578125,,,,,
20,1,20,0.0,32.0,32.0,0.5584487915039062,54.81736297952011,2742.1357421875,,,,,
21,1,21,0.0,32.0,32.0,0.46082115173339844,51.1898550321348,2629.12744140625,,,,,
22,1,22,0.0,32.0,32.0,0.47943115234375,56.83238396886736,2879.85107421875,,,,,
