step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6951904296875,327.7955329976976,2303.70458984375,,,,,
2,1,2,0.0,32.0,32.0,0.6988525390625,45.830644958186895,2920.2822265625,,,,,
3,1,3,0.0,32.0,32.0,0.68408203125,41.41396301565692,2783.82666015625,,,,,
4,1,4,0.0,32.0,32.0,0.677734375,38.74132898636162,2645.720703125,,,,,
5,1,5,0.0,32.0,32.0,0.6953125,40.39325099438429,2794.08642578125,,,,,
6,1,6,0.0,32.0,32.0,0.692626953125,40.444567042868584,2783.82666015625,,,,,
7,1,7,0.0,32.0,32.0,0.7034912109375,41.563134000170976,2829.865234375,,,,,
8,1,8,0.0,32.0,32.0,0.6854248046875,40.43207596987486,2794.08642578125,,,,,
9,1,9,0.0,32.0,32.0,0.6844482421875,39.39363599056378,2736.4580078125,,,,,
10,1,10,0.0,32.0,32.0,0.708251953125,42.2791899763979,2884.35888671875,,,,,
11,1,11,0.0,32.0,32.0,0.692138671875,39.29393901489675,2736.4580078125,,,,,
12,1,12,0.0,32.0,32.0,0.686767578125,44.704297033604234,2920.4853515625,,,,,
13,1,13,0.0,32.0,32.0,0.6796875,41.33209801511839,2794.08642578125,,,,,
14,1,14,0.0,32.0,32.0,0.6947021484375,45.85405299440026,2920.4853515625,,,,,
15,1,15,0.0,32.0,32.0,0.697021484375,49.821459979284555,2983.38671875,,,,,
16,1,16,0.0,32.0,32.0,0.6962890625,40.59854900697246,2706.95458984375,,,,,
17,1,17,0.0,32.0,32.0,0.6925048828125,41.95838299347088,2672.4453125,,,,,
18,1,18,0.0,32.0,32.0,0.713134765625,59.44700003601611,2920.4853515625,,,,,
19,1,19,0.0,32.0,32.0,0.6890869140625,54.94848400121555,2794.08642578125,,,,,
20,1,20,0.0,32.0,32.0,0.6702880859375,52.852802036795765,2744.4794921875,,,,,
21,1,21,0.0,32.0,32.0,0.67041015625,50.73621601331979,2629.54931640625,,,,,
22,1,22,0.0,32.0,32.0,0.68487548828125,56.84793402906507,2884.35888671875,,,,,
23,1,23,0.0,32.0,32.0,0.658447265625,45.676430978346616,2506.40576171875,,,,,
24,1,24,0.0,32.0,32.0,0.64654541015625,55.31903903465718,3101.91650390625,,,,,
25,1,25,0.0,32.0,32.0,0.62908935546875,42.90502500953153,2783.82666015625,,,,,
26,1,26,0.0,32.0,32.0,0.60687255859375,41.136006999295205,2569.32763671875,,,,,
