step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,16.0,16.0,0.70556640625,354.06503902049735,2287.63623046875,,,,,
2,1,2,0.0,16.0,16.0,0.689697265625,41.22146702138707,2287.875,,,,,
3,1,3,0.0,16.0,16.0,0.695556640625,37.303136952687055,2410.07080078125,,,,,
4,1,4,0.0,16.0,16.0,0.6663818359375,37.99723699921742,2293.078125,,,,,
5,1,5,0.0,16.0,16.0,0.6728515625,38.27040101168677,2349.45458984375,,,,,
6,1,6,0.0,16.0,16.0,0.6771240234375,37.783120991662145,2332.08935546875,,,,,
7,1,7,0.0,16.0,16.0,0.657958984375,37.179603008553386,2288.6240234375,,,,,
8,1,8,0.0,16.0,16.0,0.63916015625,37.949395016767085,2287.6259765625,,,,,
9,1,9,0.0,16.0,16.0,0.7392578125,34.76976999081671,2351.50146484375,,,,,
10,1,10,0.0,16.0,16.0,0.7103271484375,34.850683005061,2287.8115234375,,,,,
11,1,11,0.0,16.0,16.0,0.6005859375,34.36215501278639,2290.78125,,,,,
12,1,12,0.0,16.0,16.0,0.6619873046875,34.858016995713115,2349.45458984375,,,,,
13,1,13,0.0,16.0,16.0,0.712158203125,35.314575012307614,2372.9052734375,,,,,
14,1,14,0.0,16.0,16.0,0.7677001953125,36.4386880537495,2322.52685546875,,,,,
15,1,15,0.0,16.0,16.0,0.775146484375,34.76037801010534,2351.50146484375,,,,,
16,1,16,0.0,16.0,16.0,0.614990234375,35.059906949754804,2293.1259765625,,,,,
17,1,17,0.0,16.0,16.0,0.7296142578125,34.91134004434571,2322.52685546875,,,,,
18,1,18,0.0,16.0,16.0,0.7021484375,34.67497299425304,2322.52685546875,,,,,
19,1,19,0.0,16.0,16.0,0.788818359375,34.877037978731096,2404.7001953125,,,,,
20,1,20,0.0,16.0,16.0,0.756103515625,34.816676983609796,2351.50146484375,,,,,
21,1,21,0.0,16.0,16.0,0.7314453125,36.07644798466936,2322.52685546875,,,,,
22,1,22,0.0,16.0,16.0,0.671875,38.58197899535298,2293.078125,,,,,
23,1,23,0.0,16.0,16.0,0.6513671875,39.20900798402727,2288.216796875,,,,,
24,1,24,0.0,16.0,16.0,0.7041015625,41.381337970960885,2410.07080078125,,,,,
25,1,25,0.0,16.0,16.0,0.691162109375,41.310123982839286,2351.50146484375,,,,,
26,1,26,0.0,16.0,16.0,0.66748046875,39.6399560268037,2287.6259765625,,,,,
27,1,27,0.0,16.0,16.0,0.66357421875,38.81846601143479,2288.6240234375,,,,,
28,1,28,0.0,16.0,16.0,0.64453125,38.93255704315379,2410.07080078125,,,,,
29,1,29,0.0,16.0,16.0,0.597412109375,38.82985998643562,2442.21875,,,,,
30,1,30,0.0,16.0,16.0,0.6317138671875,36.83369199279696,2414.3232421875,,,,,
31,1,31,0.0,16.0,16.0,0.6685791015625,36.57892404589802,2285.5302734375,,,,,
32,1,32,0.0,16.0,16.0,0.62060546875,35.68735101725906,2313.23828125,,,,,
33,1,33,0.0,16.0,16.0,0.63427734375,35.185422049835324,2293.1259765625,,,,,
34,1,34,0.0,16.0,16.0,0.7088623046875,35.17048800131306,2288.349609375,,,,,
35,1,35,0.0,16.0,16.0,0.557861328125,34.60539196385071,2287.875,,,,,
36,1,36,0.0,16.0,16.0,0.5760498046875,34.23431399278343,2410.07080078125,,,,,
37,1,37,0.0,16.0,16.0,0.54388427734375,35.17672303132713,2332.08935546875,,,,,
38,1,38,0.0,16.0,16.0,0.5279541015625,35.25180701399222,2351.50146484375,,,,,
39,1,39,0.0,16.0,16.0,0.57513427734375,34.96774303494021,2313.23828125,,,,,
40,1,40,0.0,16.0,16.0,0.786865234375,35.04235600121319,2332.08935546875,,,,,
41,1,41,0.0,16.0,16.0,0.670166015625,34.636825032066554,2290.78125,,,,,
42,1,42,0.0,16.0,16.0,0.57275390625,35.04561202134937,2288.6240234375,,,,,
43,1,43,0.0,16.0,16.0,0.42083740234375,34.598307975102216,2293.078125,,,,,
44,1,44,0.0,16.0,16.0,0.6846923828125,34.349873021710664,2404.7001953125,,,,,
45,1,45,0.0,16.0,16.0,0.5623779296875,34.96135899331421,2287.8115234375,,,,,
46,1,46,0.0,16.0,16.0,0.50225830078125,35.2586199878715,2286.50830078125,,,,,
47,1,47,0.0,16.0,16.0,0.38214111328125,34.73132097860798,2287.875,,,,,
48,1,48,0.0,16.0,16.0,0.514251708984375,39.0726940240711,2498.21240234375,,,,,
49,1,49,0.0,16.0,16.0,0.577545166015625,37.7782279974781,2284.966796875,,,,,
50,1,50,0.0,16.0,16.0,0.487640380859375,37.68223797669634,2349.45458984375,,,,,
51,1,51,0.0,16.0,16.0,0.6004791259765625,38.036725018173456,2288.6240234375,,,,,
52,1,52,0.0,16.0,16.0,0.544158935546875,38.1059079663828,2288.349609375,,,,,
53,1,53,0.0,16.0,16.0,0.3720245361328125,41.23358603101224,2470.673828125,,,,,
54,1,54,0.0,16.0,16.0,0.4586639404296875,39.22158695058897,2414.3232421875,,,,,
55,1,55,0.0,16.0,16.0,0.40728759765625,37.29002200998366,2290.78125,,,,,
56,1,56,0.0,16.0,16.0,0.6289215087890625,36.65706102037802,2404.7001953125,,,,,
57,1,57,0.0,16.0,16.0,0.36151123046875,37.24102798150852,2322.52685546875,,,,,
58,1,58,0.0,16.0,16.0,0.40179443359375,36.119876021984965,2414.3232421875,,,,,
59,1,59,0.0,16.0,16.0,0.38818359375,35.991178010590374,2288.349609375,,,,,
60,1,60,0.0,16.0,16.0,0.440765380859375,35.221867030486465,2322.52685546875,,,,,
61,1,61,0.0,16.0,16.0,0.3022003173828125,34.990970976650715,2404.7001953125,,,,,
62,1,62,0.0,16.0,16.0,0.5963134765625,36.51399497175589,2487.41162109375,,,,,
63,1,63,0.0,16.0,16.0,0.2886810302734375,35.517426033038646,2414.3232421875,,,,,
64,1,64,0.0,16.0,16.0,0.6197509765625,35.797469958197325,2360.6806640625,,,,,
65,1,65,0.0,16.0,16.0,0.3341064453125,35.38603201741353,2411.42041015625,,,,,
66,1,66,0.0,16.0,16.0,0.5654449462890625,35.41474399389699,2293.078125,,,,,
67,1,67,0.0,16.0,16.0,0.45604705810546875,35.2161189657636,2293.1259765625,,,,,
68,1,68,0.0,16.0,16.0,0.4565887451171875,34.62467301869765,2293.078125,,,,,
69,1,69,0.0,16.0,16.0,0.5858078002929688,35.025454009883106,2287.8115234375,,,,,
70,1,70,0.0,16.0,16.0,0.34813690185546875,36.17196500999853,2287.6259765625,,,,,
71,1,71,0.0,16.0,16.0,0.2652740478515625,34.62347399909049,2288.6240234375,,,,,
72,1,72,0.0,16.0,16.0,0.41349029541015625,34.80297198984772,2283.0458984375,,,,,
73,1,73,0.0,16.0,16.0,0.4864959716796875,34.317089011892676,2442.21875,,,,,
74,1,74,0.0,16.0,16.0,0.264373779296875,37.056242988910526,2456.08203125,,,,,
75,1,75,0.0,16.0,16.0,0.4876861572265625,37.32090099947527,2332.08935546875,,,,,
76,1,76,0.0,16.0,16.0,0.42024993896484375,38.821568014100194,2432.94189453125,,,,,
77,1,77,0.0,16.0,16.0,0.4273681640625,39.0580189996399,2404.7001953125,,,,,
78,1,78,0.0,16.0,16.0,0.2294464111328125,38.19746297085658,2360.6806640625,,,,,
79,1,79,0.0,16.0,16.0,0.5980148315429688,37.45773195987567,2322.52685546875,,,,,
80,1,80,0.0,16.0,16.0,0.3161163330078125,38.09184400597587,2372.9052734375,,,,,
81,1,81,0.0,16.0,16.0,0.26055908203125,37.429087969940156,2298.36328125,,,,,
82,1,82,0.0,16.0,16.0,0.215972900390625,37.0328810531646,2287.8115234375,,,,,
83,1,83,0.0,16.0,16.0,0.2780303955078125,40.99971998948604,2487.41162109375,,,,,
84,1,84,0.0,16.0,16.0,0.1613616943359375,37.297013972420245,2290.78125,,,,,
85,1,85,0.0,16.0,16.0,0.1803436279296875,36.57354100141674,2286.341796875,,,,,
86,1,86,0.0,16.0,16.0,0.27032470703125,35.387362993787974,2288.216796875,,,,,
87,1,87,0.0,16.0,16.0,0.2633209228515625,35.214228031691164,2293.078125,,,,,
88,1,88,0.0,16.0,16.0,0.37017822265625,34.41488102544099,2313.23828125,,,,,
89,1,89,0.0,16.0,16.0,0.32299041748046875,34.91455496987328,2287.8115234375,,,,,
90,1,90,0.0,16.0,16.0,0.67071533203125,34.89518299465999,2288.349609375,,,,,
91,1,91,0.0,16.0,16.0,0.5071868896484375,35.16342199873179,2287.8115234375,,,,,
92,1,92,0.0,16.0,16.0,0.323028564453125,34.55740597564727,2287.8115234375,,,,,
93,1,93,0.0,16.0,16.0,0.67694091796875,34.61079701082781,2360.6806640625,,,,,
94,1,94,0.0,16.0,16.0,0.275970458984375,35.01903498545289,2411.42041015625,,,,,
95,1,95,0.0,16.0,16.0,0.2569580078125,35.78638797625899,2288.6240234375,,,,,
96,1,96,0.0,16.0,16.0,0.2946319580078125,35.882189986296,2526.8408203125,,,,,
97,1,97,0.0,16.0,16.0,0.2385406494140625,38.87391899479553,2498.21240234375,,,,,
98,1,98,0.0,16.0,16.0,0.2277984619140625,36.701947974506766,2322.52685546875,,,,,
99,1,99,0.0,16.0,16.0,0.513458251953125,35.04802501993254,2284.966796875,,,,,
100,1,100,0.0,16.0,16.0,0.11742401123046875,36.79381200345233,2293.1259765625,,,,,
100,1,,1.0,16.0,16.0,,36.79381200345233,2293.1259765625,0.8922018348623854,0.2876132658936761,0.8761525783604804,0.3149477506335161,-0.016049256501904918
