step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68603515625,338.1646890193224,2025.26904296875,,,,,
2,1,2,0.0,32.0,32.0,0.691162109375,35.7370600104332,2496.3740234375,,,,,
3,1,3,0.0,32.0,32.0,0.6876220703125,37.87685098359361,2692.7841796875,,,,,
4,1,4,0.0,32.0,32.0,0.694091796875,38.49830903345719,2687.3701171875,,,,,
5,1,5,0.0,32.0,32.0,0.6978759765625,38.07007899740711,2655.02490234375,,,,,
6,1,6,0.0,32.0,32.0,0.682861328125,37.5170320039615,2574.6875,,,,,
7,1,7,0.0,32.0,32.0,0.69818115234375,36.532172991428524,2563.3828125,,,,,
8,1,8,0.0,32.0,32.0,0.686279296875,32.66026405617595,2214.8603515625,,,,,
9,1,9,0.0,32.0,32.0,0.709228515625,40.75401299633086,2790.72021484375,,,,,
10,1,10,0.0,32.0,32.0,0.687744140625,37.854648020584136,2563.3828125,,,,,
11,1,11,0.0,32.0,32.0,0.703857421875,38.11267501441762,2574.6875,,,,,
12,1,12,0.0,32.0,32.0,0.7100830078125,36.67985298670828,2543.56884765625,,,,,
13,1,13,0.0,32.0,32.0,0.715576171875,42.193158995360136,2790.72021484375,,,,,
14,1,14,0.0,32.0,32.0,0.701416015625,35.00972600886598,2398.12548828125,,,,,
15,1,15,0.0,32.0,32.0,0.677978515625,36.760755989234895,2563.3828125,,,,,
16,1,16,0.0,32.0,32.0,0.6798095703125,43.45567402197048,2852.0673828125,,,,,
17,1,17,0.0,32.0,32.0,0.688720703125,35.61192099004984,2410.10546875,,,,,
18,1,18,0.0,32.0,32.0,0.6923828125,37.49096498358995,2574.6875,,,,,
19,1,19,0.0,32.0,32.0,0.69287109375,38.010431046132,2543.56884765625,,,,,
20,1,20,0.0,32.0,32.0,0.7039794921875,45.29013199498877,2574.6875,,,,,
21,1,21,0.0,32.0,32.0,0.6859130859375,50.982749031390995,2660.82958984375,,,,,
22,1,22,0.0,32.0,32.0,0.66949462890625,47.4805940175429,2435.498046875,,,,,
23,1,23,0.0,32.0,32.0,0.697265625,62.673676002305,2965.60693359375,,,,,
24,1,24,0.0,32.0,32.0,0.685791015625,51.18867300916463,2660.82958984375,,,,,
