step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.68603515625,326.6559009789489,2025.26904296875,,,,,
2,1,2,0.0,32.0,32.0,0.691162109375,36.06799500994384,2496.3740234375,,,,,
3,1,3,0.0,32.0,32.0,0.688232421875,37.812830007169396,2692.7841796875,,,,,
4,1,4,0.0,32.0,32.0,0.691650390625,38.894661993253976,2687.3701171875,,,,,
5,1,5,0.0,32.0,32.0,0.6951904296875,38.484658987727016,2655.02490234375,,,,,
6,1,6,0.0,32.0,32.0,0.68280029296875,38.587298011407256,2574.6875,,,,,
7,1,7,0.0,32.0,32.0,0.70379638671875,37.07036696141586,2563.3828125,,,,,
8,1,8,0.0,32.0,32.0,0.679931640625,30.74725903570652,2214.8603515625,,,,,
9,1,9,0.0,32.0,32.0,0.7314453125,39.54591299407184,2790.72021484375,,,,,
10,1,10,0.0,32.0,32.0,0.68304443359375,37.59806999005377,2563.3828125,,,,,
11,1,11,0.0,32.0,32.0,0.71270751953125,37.87273203488439,2574.6875,,,,,
12,1,12,0.0,32.0,32.0,0.7227783203125,36.26024100231007,2543.56884765625,,,,,
13,1,13,0.0,32.0,32.0,0.733642578125,41.77289496874437,2790.72021484375,,,,,
14,1,14,0.0,32.0,32.0,0.6981201171875,34.53097498277202,2398.12548828125,,,,,
15,1,15,0.0,32.0,32.0,0.6734619140625,36.98482003528625,2563.3828125,,,,,
16,1,16,0.0,32.0,32.0,0.67041015625,43.94611401949078,2852.0673828125,,,,,
17,1,17,0.0,32.0,32.0,0.6865234375,34.76908098673448,2410.10546875,,,,,
18,1,18,0.0,32.0,32.0,0.6708984375,37.80430898768827,2574.6875,,,,,
19,1,19,0.0,32.0,32.0,0.670166015625,38.293858990073204,2543.56884765625,,,,,
20,1,20,0.0,32.0,32.0,0.6793212890625,47.31128801358864,2574.6875,,,,,
21,1,21,0.0,32.0,32.0,0.66015625,51.97785800555721,2660.82958984375,,,,,
22,1,22,0.0,32.0,32.0,0.6270751953125,46.694127027876675,2435.498046875,,,,,
