step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.6953125,343.4633400174789,2059.51123046875,,,,,
2,1,2,0.0,32.0,32.0,0.706298828125,34.73920398391783,2503.7490234375,,,,,
3,1,3,0.0,32.0,32.0,0.6923828125,41.16405901731923,2806.24951171875,,,,,
4,1,4,0.0,32.0,32.0,0.679443359375,35.63445498002693,2467.07958984375,,,,,
5,1,5,0.0,32.0,32.0,0.6990966796875,41.88539204187691,2761.40234375,,,,,
6,1,6,0.0,32.0,32.0,0.697021484375,37.19254001043737,2664.58740234375,,,,,
7,1,7,0.0,32.0,32.0,0.6895751953125,37.85360598703846,2690.9091796875,,,,,
8,1,8,0.0,32.0,32.0,0.6917724609375,35.93323699897155,2559.78759765625,,,,,
9,1,9,0.0,32.0,32.0,0.69921875,36.096413037739694,2358.748046875,,,,,
10,1,10,0.0,32.0,32.0,0.684814453125,37.731270014774054,2672.98583984375,,,,,
11,1,11,0.0,32.0,32.0,0.6829833984375,35.87817098014057,2518.4384765625,,,,,
12,1,12,0.0,32.0,32.0,0.6978759765625,35.03968601580709,2467.07958984375,,,,,
13,1,13,0.0,32.0,32.0,0.6942138671875,40.02486896933988,2744.69970703125,,,,,
14,1,14,0.0,32.0,32.0,0.6934814453125,36.51014604838565,2358.748046875,,,,,
15,1,15,0.0,32.0,32.0,0.6875,41.79851204389706,2800.37646484375,,,,,
16,1,16,0.0,32.0,32.0,0.68585205078125,35.16943700378761,2413.76171875,,,,,
17,1,17,0.0,32.0,32.0,0.7047119140625,38.51714596385136,2672.98583984375,,,,,
18,1,18,0.0,32.0,32.0,0.6884765625,35.66418896662071,2467.07958984375,,,,,
19,1,19,0.0,32.0,32.0,0.701904296875,45.03237298922613,2800.37646484375,,,,,
20,1,20,0.0,32.0,32.0,0.6943359375,48.929428041446954,2591.34375,,,,,
21,1,21,0.0,32.0,32.0,0.6895751953125,51.71637696912512,2591.34375,,,,,
22,1,22,0.0,32.0,32.0,0.69384765625,42.19550098059699,2277.318359375,,,,,
23,1,23,0.0,32.0,32.0,0.6737060546875,50.952737976331264,2591.34375,,,,,
24,1,24,0.0,32.0,32.0,0.6678466796875,51.75854195840657,2672.98583984375,,,,,
