step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.6822509765625,399.54653702443466,4332.69091796875,,,,,
2,1,2,0.0,128.0,128.0,0.694427490234375,89.39183299662545,5200.046875,,,,,
3,1,3,0.0,128.0,128.0,0.701324462890625,111.66987102478743,5882.24560546875,,,,,
4,1,4,0.0,128.0,128.0,0.69683837890625,115.86007702862844,6067.56982421875,,,,,
5,1,5,0.0,128.0,128.0,0.69854736328125,95.65518604358658,5109.74365234375,,,,,
6,1,6,0.0,128.0,128.0,0.69140625,133.845555013977,6576.28076171875,,,,,
7,1,7,0.0,128.0,128.0,0.69305419921875,135.76672499766573,5995.22216796875,,,,,
8,1,8,0.0,128.0,128.0,0.691619873046875,181.4255359931849,6159.57373046875,,,,,
9,1,9,0.0,128.0,128.0,0.684326171875,117.74025799240917,5051.81640625,,,,,
10,1,10,0.0,128.0,128.0,0.685577392578125,131.74800598062575,6159.57373046875,,,,,
11,1,11,0.0,128.0,128.0,0.685943603515625,110.90981803135946,5718.83544921875,,,,,
12,1,12,0.0,128.0,128.0,0.691192626953125,93.57515099691227,5051.81640625,,,,,
13,1,13,0.0,128.0,128.0,0.67828369140625,102.84921701531857,5447.58544921875,,,,,
14,1,14,0.0,128.0,128.0,0.6949005126953125,133.35909298621118,6578.90576171875,,,,,
15,1,15,0.0,128.0,128.0,0.6807708740234375,133.22294101817533,5995.22216796875,,,,,
16,1,16,0.0,128.0,128.0,0.6861114501953125,133.42700997600332,5447.58544921875,,,,,
17,1,17,0.0,128.0,128.0,0.6564788818359375,135.0777400075458,5660.92529296875,,,,,
18,1,18,0.0,128.0,128.0,0.6302642822265625,106.32472502766177,5201.328125,,,,,
19,1,19,0.0,128.0,128.0,0.58709716796875,110.00556399812922,5590.32763671875,,,,,
20,1,20,0.0,128.0,128.0,0.545440673828125,106.24675499275327,5511.31591796875,,,,,
21,1,21,0.0,128.0,128.0,0.542083740234375,102.79785300372168,5447.58544921875,,,,,
22,1,22,0.0,128.0,128.0,0.4229393005371094,100.38906300906092,5321.31982421875,,,,,
23,1,23,0.0,128.0,128.0,0.3844795227050781,113.09252196224406,5590.32763671875,,,,,
24,1,24,0.0,128.0,128.0,0.43997955322265625,139.67884302837774,5995.22216796875,,,,,
25,1,25,0.0,128.0,128.0,0.4818534851074219,115.74400699464604,5109.74365234375,,,,,
26,1,26,0.0,128.0,128.0,0.37691307067871094,126.9940389902331,5718.83544921875,,,,,
27,1,27,0.0,128.0,128.0,0.411102294921875,122.92529497062787,5884.12060546875,,,,,
28,1,28,0.0,128.0,128.0,0.42172908782958984,123.28680598875508,5995.22216796875,,,,,
29,1,29,0.0,128.0,128.0,0.3063812255859375,114.39002701081336,5884.12060546875,,,,,
30,1,30,0.0,128.0,128.0,0.3224973678588867,98.3714809990488,5321.31982421875,,,,,
31,1,31,0.0,128.0,128.0,0.3472175598144531,89.67347402358428,4746.875,,,,,
32,1,32,0.0,128.0,128.0,0.3466682434082031,113.4600110235624,5344.5625,,,,,
33,1,33,0.0,128.0,128.0,0.4431781768798828,129.34895197395235,5718.83544921875,,,,,
34,1,34,0.0,128.0,128.0,0.299652099609375,119.85472799278796,5447.58544921875,,,,,
35,1,35,0.0,128.0,128.0,0.3023796081542969,99.92510499432683,4878.67578125,,,,,
36,1,36,0.0,128.0,128.0,0.3588523864746094,86.34158305358142,4644.31982421875,,,,,
37,1,37,0.0,128.0,128.0,0.3777961730957031,133.08043900178745,6159.57373046875,,,,,
38,1,38,0.0,128.0,128.0,0.3111114501953125,133.16781196044758,6374.13232421875,,,,,
39,1,39,0.0,128.0,128.0,0.4365577697753906,112.7035110257566,5718.83544921875,,,,,
40,1,40,0.0,128.0,128.0,0.2366323471069336,137.8005719743669,6216.01513671875,,,,,
41,1,41,0.0,128.0,128.0,0.30092811584472656,116.74242099979892,5447.58544921875,,,,,
42,1,42,0.0,128.0,128.0,0.42803382873535156,123.63228102913126,5590.32763671875,,,,,
43,1,43,0.0,128.0,128.0,0.40554141998291016,118.0435559945181,5511.31591796875,,,,,
44,1,44,0.0,128.0,128.0,0.3323240280151367,94.90416699554771,4746.875,,,,,
45,1,45,0.0,128.0,128.0,0.30599403381347656,121.20885500917211,5884.12060546875,,,,,
46,1,46,0.0,128.0,128.0,0.2988920211791992,109.83940702863038,5590.32763671875,,,,,
47,1,47,0.0,128.0,128.0,0.29587507247924805,120.96218799706548,5995.22216796875,,,,,
48,1,48,0.0,128.0,128.0,0.32078075408935547,124.31928003206849,6071.25732421875,,,,,
49,1,49,0.0,128.0,128.0,0.3363475799560547,107.94985701795667,5201.328125,,,,,
50,1,50,0.0,128.0,128.0,0.34557628631591797,112.71143599878997,5321.31982421875,,,,,
51,1,51,0.0,128.0,128.0,0.19536542892456055,150.73704899987206,6500.34716796875,,,,,
52,1,52,0.0,128.0,128.0,0.29050540924072266,117.76900698896497,5590.32763671875,,,,,
53,1,53,0.0,128.0,128.0,0.39065122604370117,104.47849897900596,5109.74365234375,,,,,
54,1,54,0.0,128.0,128.0,0.33338403701782227,114.18905900791287,5660.92529296875,,,,,
55,1,55,0.0,128.0,128.0,0.2882404327392578,115.65535899717361,5718.83544921875,,,,,
56,1,56,0.0,128.0,128.0,0.2924690246582031,133.33078299183398,6159.57373046875,,,,,
57,1,57,0.0,128.0,128.0,0.3211240768432617,111.29615199752152,5447.58544921875,,,,,
58,1,58,0.0,128.0,128.0,0.38037872314453125,139.2633449868299,6159.57373046875,,,,,
59,1,59,0.0,128.0,128.0,0.2747793197631836,175.37589598214254,7129.1015625,,,,,
60,1,60,0.0,128.0,128.0,0.2781991958618164,115.9541389788501,5447.58544921875,,,,,
61,1,61,0.0,128.0,128.0,0.27067041397094727,111.93667800398543,5511.31591796875,,,,,
62,1,62,0.0,128.0,128.0,0.3158435821533203,87.5885040150024,4644.31982421875,,,,,
63,1,63,0.0,128.0,128.0,0.3306694030761719,124.4421909796074,6071.25732421875,,,,,
64,1,64,0.0,128.0,128.0,0.29435253143310547,116.57976103015244,5660.92529296875,,,,,
65,1,65,0.0,128.0,128.0,0.25018882751464844,110.98045500693843,5447.58544921875,,,,,
66,1,66,0.0,128.0,128.0,0.2895827293395996,141.5561970206909,6320.10498046875,,,,,
67,1,67,0.0,128.0,128.0,0.31783103942871094,107.2714040055871,5109.74365234375,,,,,
68,1,68,0.0,128.0,128.0,0.2309713363647461,140.70289098890498,6159.57373046875,,,,,
69,1,69,0.0,128.0,128.0,0.4064807891845703,122.65673401998356,5884.12060546875,,,,,
70,1,70,0.0,128.0,128.0,0.3421907424926758,105.07510899333283,5201.328125,,,,,
71,1,71,0.0,128.0,128.0,0.3143949508666992,112.69605997949839,5590.32763671875,,,,,
72,1,72,0.0,128.0,128.0,0.24876022338867188,123.23299399577081,5884.12060546875,,,,,
73,1,73,0.0,128.0,128.0,0.20807266235351562,109.7652280004695,5447.58544921875,,,,,
74,1,74,0.0,128.0,128.0,0.2572355270385742,143.22050800547004,6499.59716796875,,,,,
