step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.687713623046875,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.1499478350927374,0.0,0.1499478350927374,0.0,0.6,0.0052088211334235714,0.9999999997139599,0.6618823813787597,-4.718736732882872e-10,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5024755147896925,0.00010203858088783721,0.49994898070955607,nan,1624.2990489699878,7653.42919921875,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.692230224609375,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.1499557903211896,0.0,0.1499557903211896,0.0,0.6,0.0052088211334235714,0.9999999996355092,0.665860406077868,1.361868594375362e-08,0.0,42.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016924484058242,9.175989500982015e-05,0.49995412005249507,nan,1110.203852003906,7968.634765625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.69476318359375,41.0,74.0,0.5540540540540541,1.0,40.0,0.024390243902439025,0.975609756097561,0.14988530204228465,0.14656547407021892,0.14996829774158632,0.0,0.6,0.0052088211334235714,0.9999999999875995,0.6617417665197637,1.9679774665057814e-08,1.0,40.0,0.9512195121951219,40.0,1.0,0.16542700514236894,0.1146652622029086,2.0,0.5019182801800778,0.00012975846779564798,0.4999351207661022,0.000323245127977574,1107.217868033331,7956.443359375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.679962158203125,39.0,74.0,0.527027027027027,1.0,38.0,0.02564102564102564,0.9743589743589743,0.14981117479137426,0.14681123645806146,0.14989012053698775,0.0,0.6,0.0052088211334235714,0.9999999999045259,0.6587937786192458,2.573390797506582e-09,1.0,38.0,0.9487179487179487,38.0,1.0,0.1720369204992158,0.11924690639624688,2.0,0.502794282322092,0.00011229804614795167,0.499943850976926,-0.00013990494614994877,1102.9046989860944,7931.119140625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.69744873046875,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14991842035765265,0.0,0.14991842035765265,0.0,0.6,0.0052088211334235714,1.000000000410052,0.6534172612591107,1.897068391242135e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.501635967169623,-7.084459589395469e-05,0.500035422297947,nan,1110.7151450123638,7986.16357421875,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.681884765625,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.14974065079286092,0.0,0.14974065079286092,0.0,0.6,0.0052088211334235714,1.0000000002921632,0.6717891581936056,-2.0324190119098823e-08,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5021138163943939,0.00018673218837212478,0.4999066339058139,nan,1109.8328669904731,7955.884765625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.68829345703125,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.15005393584937562,0.0,0.15005393584937562,0.0,0.6,0.0052088211334235714,1.0000000004873746,0.6714991758966253,-4.971812223908074e-09,0.0,38.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015725070599815,-5.615576002229419e-07,0.5000002807788001,nan,1103.4863230306655,7926.658203125,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.698211669921875,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.14998550984805978,0.0,0.14998550984805978,0.0,0.6,0.0052088211334235714,0.9999999998707992,0.6794637041763505,-7.762183666941011e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5012919893104169,4.825507511050646e-05,0.49997587246244474,nan,1104.692978959065,7933.171875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6989593505859375,35.0,74.0,0.47297297297297297,0.0,35.0,0.0,1.0,0.1499294534307621,0.0,0.1499294534307621,0.0,0.6,0.0052088211334235714,1.0000000003031912,0.6706842230390728,-1.2742290281900515e-08,0.0,35.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017159992672882,-3.1047828660315174e-05,0.5000155239143301,nan,1102.5120739941485,7881.892578125,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6856231689453125,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.14984718368736832,0.0,0.14984718368736832,0.0,0.6,0.0052088211334235714,1.0000000011811785,0.6692424218967631,1.369761144812938e-08,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015696523479056,3.1273220425812914e-05,0.4999843633897871,nan,1119.3938470096327,7933.939453125,,,,,,,,,,
