step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.687713623046875,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.16869131447932953,0.0,0.16869131447932953,0.0,0.6,0.0052088211334235714,0.9999999998621446,0.6618823767864451,-1.2822397345525647e-08,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5024755147896925,0.0001020383796048571,0.49994898081019756,nan,1611.151946010068,7653.42919921875,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.692230224609375,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.16870026411133832,0.0,0.16870026411133832,0.0,0.6,0.0052088211334235714,1.0000000001761298,0.6658603929075992,-4.744948091534179e-09,0.0,42.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016924484058242,9.175379165145267e-05,0.49995412310417425,nan,1095.8670129766688,7968.634765625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.69476318359375,41.0,74.0,0.5540540540540541,1.0,40.0,0.024390243902439025,0.975609756097561,0.16862096428129053,0.1648861583289963,0.1687143344300979,0.0,0.6,0.0052088211334235714,1.0000000002003164,0.6617417662697289,3.2274219732893407e-09,1.0,40.0,0.9512195121951219,40.0,1.0,0.16542700514236894,0.1146652622029086,2.0,0.5019182815706673,0.00012976633325831904,0.49993511683337083,0.0003232545505414798,1098.0840680422261,7956.443359375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.679962158203125,39.0,74.0,0.527027027027027,1.0,38.0,0.02564102564102564,0.9743589743589743,0.1685387916524366,0.16518796426337215,0.1686269713205699,0.0,0.6,0.0052088211334235714,0.9999999999734105,0.6588115060278841,4.683640327523714e-09,1.0,38.0,0.9487179487179487,38.0,1.0,0.1720369204992158,0.11924690639624688,2.0,0.5027891103463975,0.0001123003536636929,0.49994384982316814,-0.00014941261048639882,1097.6112839998677,7931.119140625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.69757080078125,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.16865290325711138,0.0,0.16865290325711138,0.0,0.6,0.0052088211334235714,1.0000000002228389,0.6534263254403019,-2.9992942008337033e-09,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016718828581624,-6.707752683075458e-05,0.5000335387634154,nan,1102.080884971656,7986.16357421875,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.681793212890625,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.16845763900806637,0.0,0.16845763900806637,0.0,0.6,0.0052088211334235714,0.9999999998781788,0.6717605503793486,-5.477240688567216e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5021014336469273,0.00018913745892979692,0.4999054312705351,nan,1093.249157012906,7955.884765625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.688232421875,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.1688227745591637,0.0,0.1688227745591637,0.0,0.6,0.0052088211334235714,0.9999999987900847,0.6714218715999545,1.9083478755284734e-08,0.0,38.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015471000095263,-1.3837100450024239e-06,0.5000006918550225,nan,1087.3411250067875,7926.658203125,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.698150634765625,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.16873625488133387,0.0,0.16873625488133387,0.0,0.6,0.0052088211334235714,0.9999999999943543,0.6794960549505701,2.4530236564563442e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5012809344519995,5.1149379400685715e-05,0.4999744253102997,nan,1086.2229940248653,7933.171875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.6990814208984375,35.0,74.0,0.47297297297297297,0.0,35.0,0.0,1.0,0.16866946318473885,0.0,0.16866946318473885,0.0,0.6,0.0052088211334235714,0.9999999999107935,0.6706995179345767,-2.7404685321424627e-09,0.0,35.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017374742964634,-3.9559121412392494e-05,0.5000197795607062,nan,1093.0359560297802,7881.892578125,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6856536865234375,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.16859322441862157,0.0,0.16859322441862157,0.0,0.6,0.0052088211334235714,1.0000000005339873,0.6691933667998127,8.614680166502018e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5015561191539192,4.0324180891723125e-05,0.49997983790955414,nan,1099.3045089999214,7933.939453125,,,,,,,,,,
