step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.694549560546875,39.0,74.0,0.527027027027027,0.0,39.0,0.0,1.0,0.14996912488488873,0.0,0.14996912488488873,0.0,0.6,0.0052088211334235714,0.9999999998951915,0.6613404208994845,-2.6981538398518205e-09,0.0,39.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5021797740783818,7.116635217251418e-05,0.49996441682391374,nan,1598.9048929768614,7659.36083984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.685394287109375,34.0,74.0,0.4594594594594595,0.0,34.0,0.0,1.0,0.15016135096127964,0.0,0.15016135096127964,0.0,0.6,0.0052088211334235714,0.9999999999995242,0.6584445573070585,-1.415543547562757e-09,0.0,34.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5034345949252,-0.00011643075618807596,0.500058215378094,nan,1084.9053240381181,7884.84716796875,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.68585205078125,41.0,74.0,0.5540540540540541,1.0,40.0,0.024390243902439025,0.975609756097561,0.15001096233321695,0.1459196298422858,0.15011324564549022,0.0,0.6,0.0052088211334235714,0.9999999996827572,0.6501161795579624,1.15889698312861e-09,1.0,40.0,0.9512195121951219,40.0,1.0,0.16542700514236894,0.1146652622029086,2.0,0.5030997005747763,-0.00026639561938445367,0.5001331978096922,0.0014229488654880277,1086.6543260053732,7947.884765625,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.675140380859375,37.0,74.0,0.5,0.0,37.0,0.0,1.0,0.15013819368974043,0.0,0.15013819368974043,0.0,0.6,0.0052088211334235714,0.9999999999660023,0.6495419119827779,1.6614771700190723e-08,0.0,37.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5040071914752815,-4.617909730915281e-05,0.5000230895486546,nan,1088.401890010573,7917.63427734375,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.69122314453125,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.14989283043808288,0.0,0.14989283043808288,0.0,0.6,0.0052088211334235714,0.9999999999409825,0.6650426799048005,8.98114548492053e-09,0.0,38.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.501739386708637,-0.00015451888932588008,0.500077259444663,nan,1084.7547050216235,7919.375,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.699859619140625,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.14998482276745562,0.0,0.14998482276745562,0.0,0.6,0.0052088211334235714,1.000000000098957,0.6574485179125958,-2.414542434235799e-10,0.0,38.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5018449252474134,-1.9601402657416288e-05,0.5000098007013287,nan,1086.7345900041983,7928.017578125,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.69677734375,28.0,74.0,0.3783783783783784,0.0,28.0,0.0,1.0,0.14985217656595798,0.0,0.14985217656595798,0.0,0.6,0.0052088211334235714,0.9999999999415434,0.6612911972155255,-3.4296398146550273e-10,0.0,28.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5016737124441364,-1.7779227299739588e-05,0.5000088896136499,nan,1081.25894801924,7825.41455078125,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.680328369140625,35.0,74.0,0.47297297297297297,0.0,35.0,0.0,1.0,0.15030810320198462,0.0,0.15030810320198462,0.0,0.6,0.0052088211334235714,1.0000000000403737,0.6544948691754413,-3.852247914241072e-09,0.0,35.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5026503972945913,-4.2026042999503644e-05,0.5000210130214997,nan,1089.5843749749474,7892.23388671875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.699188232421875,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.15001095782784218,0.0,0.15001095782784218,0.0,0.6,0.0052088211334235714,1.0000000000558453,0.6548073242760739,2.004188522859146e-09,0.0,41.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5023601700933779,-0.00022978342008685932,0.5001148917100434,nan,1095.3189020510763,7951.84375,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.710052490234375,38.0,74.0,0.5135135135135135,2.0,36.0,0.05263157894736842,0.9473684210526315,0.14990495095251474,0.1452146170742036,0.15016552505686537,0.0,0.6,0.0052088211334235714,0.9999999998501066,0.6495223320371496,-6.12926963036525e-09,2.0,36.0,0.8947368421052632,18.0,1.0,0.29747222006539026,0.20619203063323283,2.0,0.5043550260893114,-0.0025505654946379043,0.5012752827473189,0.0026793218945545855,1090.2293769759126,7914.87451171875,,,,,,,,,,
11,1,11,0.0,128.0,128.0,0.6895751953125,37.0,74.0,0.5,0.0,37.0,0.0,1.0,0.1499253137231391,0.0,0.1499253137231391,0.0,0.6,0.0052088211334235714,1.0000000004313125,0.6592152235739992,-1.3171995430885783e-08,0.0,37.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5019037310885114,-3.37310573166561e-05,0.5000168655286583,nan,1091.1790250102058,7906.416015625,,,,,,,,,,
12,1,12,0.0,128.0,128.0,0.694854736328125,40.0,74.0,0.5405405405405406,1.0,39.0,0.025,0.975,0.1500072974748835,0.14569364088926742,0.15011790405400185,0.0,0.6,0.0052088211334235714,1.0000000002530638,0.6577721689095423,-5.93566782188496e-09,1.0,39.0,0.95,39.0,1.0,0.1686609026427723,0.11690682913753306,2.0,0.5027922782647891,0.00021133276607595075,0.499894333616962,-0.011952228725210685,1077.5069509982131,7939.962890625,,,,,,,,,,
