step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.694549560546875,39.0,74.0,0.527027027027027,3.0,36.0,0.07692307692307693,0.9230769230769231,0.14997882305633115,0.14836317576572447,0.15011346033054834,0.0,0.6,0.0052088211334235714,0.9999999996642852,0.6613404230896399,-1.0992767650163754e-08,3.0,36.0,0.8461538461538461,12.0,1.0,0.3912435347753558,0.27118935304184477,2.0,0.501494727230294,0.000530106069116551,0.49973494696544174,-0.005891829365508777,1613.3248209953308,7660.11083984375,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.685394287109375,34.0,74.0,0.4594594594594595,3.0,31.0,0.08823529411764706,0.9117647058823529,0.15011064764322707,0.1486687384952229,0.15025018723819522,0.0,0.6,0.0052088211334235714,0.9999999999614593,0.6584445574337611,6.200142639376974e-09,3.0,31.0,0.8235294117647058,10.333333333333334,1.0,0.43055183815653947,0.2984357927031072,2.0,0.5023552082779789,-6.541197494481734e-05,0.5000327059874724,0.0023188342494290934,1085.9926719567738,7890.35791015625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.68585205078125,41.0,74.0,0.5540540540540541,3.0,38.0,0.07317073170731707,0.926829268292683,0.15000751077565214,0.14808862558751165,0.150159001711558,0.0,0.6,0.0052088211334235714,1.000000000236808,0.6501161718077683,-2.8530354163066325e-09,3.0,38.0,0.8536585365853658,12.666666666666666,1.0,0.3776462925198005,0.26176446290901606,2.0,0.5021255738024483,-0.002009329134398482,0.5010046645671993,0.003813629065426641,1094.3942950107157,7940.0361328125,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.675140380859375,37.0,74.0,0.5,4.0,33.0,0.10810810810810811,0.8918918918918919,0.1500947484704404,0.14824105676761484,0.15031943837381317,0.0,0.6,0.0052088211334235714,0.9999999998454996,0.6495419087191412,1.4094504484331577e-08,4.0,33.0,0.7837837837837838,8.25,1.0,0.4941829059958885,0.3425414879719706,2.0,0.5027480518803916,8.769121215176177e-05,0.4999561543939241,0.0004665544474567457,1086.6541849682108,7899.39892578125,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.69122314453125,38.0,74.0,0.5135135135135135,1.0,37.0,0.02631578947368421,0.9736842105263158,0.14993137326944284,0.1489316862651934,0.14995839183712525,0.0,0.6,0.0052088211334235714,1.0000000010660246,0.6650150006790491,5.104691838115188e-09,1.0,37.0,0.9473684210526315,37.0,1.0,0.1755649970036047,0.12169238267806384,2.0,0.5011909723917776,-0.00011630489203643294,0.5000581524460183,-0.0033738286175735927,1087.0396780082956,7940.88427734375,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6999359130859375,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.14999471244080356,0.0,0.14999471244080356,0.0,0.6,0.0052088211334235714,1.0000000001064224,0.6574905347953779,-1.0411390230779144e-08,0.0,38.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5012576641046191,-1.9419515723177506e-05,0.5000097097578616,nan,1087.8980670240708,7927.3203125,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6968994140625,28.0,74.0,0.3783783783783784,1.0,27.0,0.03571428571428571,0.9642857142857143,0.14989437976145528,0.1489354278025401,0.14992989650067437,0.0,0.6,0.0052088211334235714,0.9999999997733772,0.6612277303436933,4.95532484480814e-09,1.0,27.0,0.9285714285714286,27.0,1.0,0.2222848018317892,0.15407608367103084,2.0,0.5011343962776621,-7.108275774209202e-05,0.5000355413788711,0.001795204881740249,1080.8877170202322,7821.53076171875,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.680389404296875,35.0,74.0,0.47297297297297297,2.0,33.0,0.05714285714285714,0.9428571428571428,0.15021832904254717,0.14866659275857225,0.15031237366581834,0.0,0.6,0.0052088211334235714,1.0000000003323948,0.6545452793299364,-1.479245790414685e-08,2.0,33.0,0.8857142857142857,16.5,1.0,0.3159971041245251,0.21903250178902203,2.0,0.5018075988639327,0.00023830938173997662,0.49988084530913,0.00036562813509317417,1086.5742699825205,7911.0087890625,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.699127197265625,41.0,74.0,0.5540540540540541,3.0,38.0,0.07317073170731707,0.926829268292683,0.15001281375831482,0.1486103791393786,0.15012353228086242,0.0,0.6,0.0052088211334235714,1.0000000001654754,0.654834225120684,-2.0686761012399687e-08,3.0,38.0,0.8536585365853658,12.666666666666666,1.0,0.3776462925198005,0.26176446290901606,2.0,0.5016277260742207,-0.0013198580038892185,0.5006599290019446,0.0032914863255952176,1093.8077970058657,7956.3896484375,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.710052490234375,38.0,74.0,0.5135135135135135,7.0,31.0,0.18421052631578946,0.8157894736842105,0.14993295820669755,0.1480660212122951,0.15035452462478846,0.0,0.6,0.0052088211334235714,1.0000000000950362,0.6495943430092733,3.163366128494735e-11,7.0,31.0,0.631578947368421,4.428571428571429,1.0,0.6892019562634651,0.4777183928204196,2.0,0.5029700263095321,-0.00018187873524077463,0.5000909393676204,-0.008351561455021729,1090.3204130008817,7935.0361328125,,,,,,,,,,
11,1,11,0.0,128.0,128.0,0.689666748046875,37.0,74.0,0.5,2.0,35.0,0.05405405405405406,0.9459459459459459,0.14995229219765116,0.1488220232040462,0.15001687899728572,0.0,0.6,0.0052088211334235714,0.9999999996347281,0.6592667538615492,8.765927632928863e-09,2.0,35.0,0.8918918918918919,17.5,1.0,0.3033748072325145,0.2102833922861343,2.0,0.5013292923245135,-1.419432771255838e-05,0.5000070971638563,0.00012261570430993168,1091.9571350095794,7897.79052734375,,,,,,,,,,
12,1,12,0.0,128.0,128.0,0.6947021484375,39.0,74.0,0.527027027027027,2.0,37.0,0.05128205128205128,0.9487179487179487,0.1500178540932361,0.1478311985859188,0.15013605168822622,0.0,0.6,0.0052088211334235714,0.9999999992645224,0.6578062253117303,-1.0245485897615206e-08,2.0,37.0,0.8974358974358975,18.5,1.0,0.2918182277449864,0.20227298179743733,2.0,0.501903146906323,0.0004030839424914397,0.4997984580287543,-0.009172297430992809,1087.8594210371375,7932.18115234375,,,,,,,,,,
13,1,13,0.0,128.0,128.0,0.691162109375,38.0,74.0,0.5135135135135135,1.0,37.0,0.02631578947368421,0.9736842105263158,0.1500396712098131,0.14831841631193401,0.15008619161245848,0.0,0.6,0.0052088211334235714,0.9999999998704583,0.6509099857382245,1.9996195695060546e-09,1.0,37.0,0.9473684210526315,37.0,1.0,0.1755649970036047,0.12169238267806384,2.0,0.501792870355344,-4.084154493137893e-06,0.5000020420772465,0.0024638441028316275,1099.5099439751357,7923.25927734375,,,,,,,,,,
14,1,14,0.0,128.0,128.0,0.68890380859375,39.0,74.0,0.527027027027027,0.0,39.0,0.0,1.0,0.15004960838343545,0.0,0.15004960838343545,0.0,0.6,0.0052088211334235714,0.9999999988208136,0.657800233061354,1.5735152806643483e-09,0.0,39.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013064099696951,-9.920421305963781e-05,0.5000496021065298,nan,1099.8269579722546,7947.515625,,,,,,,,,,
15,1,15,0.0,128.0,128.0,0.683074951171875,39.0,74.0,0.527027027027027,3.0,36.0,0.07692307692307693,0.9230769230769231,0.15010638392953926,0.14859194925420377,0.15023258681915058,0.0,0.6,0.0052088211334235714,1.000000000090736,0.6524482883603456,2.3305644994218624e-09,3.0,36.0,0.8461538461538461,12.0,1.0,0.3912435347753558,0.27118935304184477,2.0,0.5020246409056759,-0.00010896088395722557,0.5000544804419786,-0.0023661301578298813,1102.9853210202418,7940.9775390625,,,,,,,,,,
16,1,16,0.0,128.0,128.0,0.687255859375,38.0,74.0,0.5135135135135135,1.0,37.0,0.02631578947368421,0.9736842105263158,0.14998336541054055,0.1477236493923881,0.15004443881643656,0.0,0.6,0.0052088211334235714,1.0000000016736355,0.6604466579496527,-1.4901993026772737e-08,1.0,37.0,0.9473684210526315,37.0,1.0,0.1755649970036047,0.12169238267806384,2.0,0.5015596471724355,-0.00025894638102111074,0.5001294731905106,-0.00249856409004559,1198.8759459927678,7924.25927734375,,,,,,,,,,
17,1,17,0.0,128.0,128.0,0.67987060546875,34.0,74.0,0.4594594594594595,3.0,31.0,0.08823529411764706,0.9117647058823529,0.1502253244098986,0.1478467544902665,0.15045550859566947,0.0,0.6,0.0052088211334235714,0.9999999997586553,0.6536290267905828,-2.2396475861948548e-10,3.0,31.0,0.8235294117647058,10.333333333333334,1.0,0.43055183815653947,0.2984357927031072,2.0,0.502932865991295,6.218264786841627e-05,0.4999689086760658,-0.0016686080614619857,1094.9366500135511,7916.46142578125,,,,,,,,,,
18,1,18,0.0,128.0,128.0,0.684356689453125,20.0,74.0,0.2702702702702703,1.0,19.0,0.05,0.95,0.15008166116103094,0.14622271574711684,0.15028476355123693,0.0,0.6,0.0052088211334235714,0.9999999996970773,0.655995272422183,1.1813307777661622e-08,1.0,19.0,0.9,19.0,1.0,0.2863969282620568,0.1985152233458736,2.0,0.5024350781419373,0.00034799971586294676,0.4998260001420685,-0.0003446625229467905,1086.435410019476,7824.60107421875,,,,,,,,,,
19,1,19,0.0,128.0,128.0,0.6762847900390625,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.1499656273280492,0.0,0.1499656273280492,0.0,0.6,0.0052088211334235714,0.9999999999349956,0.6610403175828532,-7.221999533687247e-10,0.0,8.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5022765892666453,-0.00016310223145410419,0.500081551115727,nan,1081.652569992002,7741.82763671875,,,,,,,,,,
20,1,20,0.0,128.0,128.0,0.6647796630859375,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.1494767428483176,0.0,0.1494767428483176,0.0,0.6,0.0052088211334235714,1.0,0.6616185085300477,0.0,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5017441905056079,-0.0005301857017911971,0.5002650928508956,nan,1073.2370799523778,7757.10107421875,,,,,,,,,,
21,1,21,0.0,128.0,128.0,0.6518402099609375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.654993103802619,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1078.0898570083082,7752.60107421875,,,,,,,,,,
22,1,22,0.0,128.0,128.0,0.633544921875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.658448501498978,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1074.5837819995359,7747.61669921875,,,,,,,,,,
23,1,23,0.0,128.0,128.0,0.547698974609375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6618007355363594,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1076.1319139855914,7743.94482421875,,,,,,,,,,
24,1,24,0.0,128.0,128.0,0.41703033447265625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6614696575281654,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1074.7474849922583,7723.82763671875,,,,,,,,,,
25,1,25,0.0,128.0,128.0,0.3736076354980469,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6643528095976792,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1073.390096949879,7739.10888671875,,,,,,,,,,
26,1,26,0.0,128.0,128.0,0.38544654846191406,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6661084500453167,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1073.365840013139,7723.82763671875,,,,,,,,,,
27,1,27,0.0,128.0,128.0,0.416412353515625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6664269178346185,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1061.0944429645315,7730.78076171875,,,,,,,,,,
28,1,28,0.0,128.0,128.0,0.39052391052246094,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6665095159702297,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1085.7150250230916,7750.28857421875,,,,,,,,,,
29,1,29,0.0,128.0,128.0,0.4350271224975586,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6668180844164355,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1078.8501739734784,7746.60107421875,,,,,,,,,,
30,1,30,0.0,128.0,128.0,0.38677406311035156,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6659021623617959,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1079.377921007108,7740.14990234375,,,,,,,,,,
31,1,31,0.0,128.0,128.0,0.48191261291503906,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6657312829489614,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1081.6168249584734,7740.14990234375,,,,,,,,,,
32,1,32,0.0,128.0,128.0,0.4358940124511719,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6699712739949666,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1077.2378239780664,7748.19482421875,,,,,,,,,,
33,1,33,0.0,128.0,128.0,0.37021636962890625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6686079937538577,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1070.119772979524,7747.67138671875,,,,,,,,,,
34,1,34,0.0,128.0,128.0,0.3934955596923828,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.669854633562448,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1072.8883509873413,7746.60107421875,,,,,,,,,,
35,1,35,0.0,128.0,128.0,0.33446693420410156,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6680351498268857,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1078.061617037747,7739.27294921875,,,,,,,,,,
36,1,36,0.0,128.0,128.0,0.3234367370605469,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0052088211334235714,1.0,0.6679441135895128,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,1088.9134739991277,7739.10888671875,,,,,,,,,,
