step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.687713623046875,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.1499552870627877,0.0,0.1499552870627877,0.0,0.6,0.0052088211334235714,0.9999999999022696,0.6618823791702556,-2.4424986707662077e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5021218871311046,0.00010203780974741342,0.4999489810951263,nan,1621.3033379754052,7653.42919921875,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.692230224609375,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.14996210594368903,0.0,0.14996210594368903,0.0,0.6,0.0052088211334235714,0.9999999987230591,0.6658604125926393,6.606825167648298e-09,0.0,42.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014506770538413,9.175822699989937e-05,0.49995412088650004,nan,1097.1889840438962,7968.634765625,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.694732666015625,41.0,74.0,0.5540540540540541,1.0,40.0,0.024390243902439025,0.975609756097561,0.1499024662238328,0.14710350155296054,0.14997244034060458,0.0,0.6,0.0052088211334235714,1.0000000002404443,0.661759198811848,-4.731411257143797e-09,1.0,40.0,0.9512195121951219,40.0,1.0,0.16542700514236894,0.1146652622029086,2.0,0.5016211129692317,0.00013455964180176958,0.4999327201790991,0.00017856873174715908,1093.1930250371806,7956.443359375,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.680145263671875,39.0,74.0,0.527027027027027,1.0,38.0,0.02564102564102564,0.9743589743589743,0.14983191738457785,0.14727056916897938,0.1498993212849883,0.0,0.6,0.0052088211334235714,1.000000000028897,0.6587167171247365,-9.188646995451647e-09,1.0,38.0,0.9487179487179487,38.0,1.0,0.1720369204992158,0.11924690639624688,2.0,0.5024118948603977,0.00010620467327701101,0.4999468976633615,-0.0001787089124780732,1097.4528699880466,7931.119140625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.69708251953125,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.14992971247075748,0.0,0.14992971247075748,0.0,0.6,0.0052088211334235714,1.0000000001487042,0.6534942760711245,5.663036283575214e-10,0.0,44.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014097112428879,-6.411250559371057e-05,0.5000320562527969,nan,1093.4877489926293,7986.16357421875,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6820068359375,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.1497741959120801,0.0,0.1497741959120801,0.0,0.6,0.0052088211334235714,1.00000000026494,0.6716064079581053,8.162738096397998e-09,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5018213218065215,0.0001904644304777539,0.4999047677847611,nan,1092.8375070216134,7955.884765625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.68817138671875,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.1500535954995439,0.0,0.1500535954995439,0.0,0.6,0.0052088211334235714,1.0000000007162495,0.671787115105209,7.532732229314379e-09,0.0,38.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013008266941246,2.012755834989043e-06,0.4999989936220825,nan,1093.6154800001532,7926.658203125,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.698028564453125,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.14996862473770012,0.0,0.14996862473770012,0.0,0.6,0.0052088211334235714,0.9999999990436689,0.6799620378765479,2.3506762969603127e-09,0.0,41.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.501064941417832,8.537674870226477e-05,0.4999573116256489,nan,1095.7513639586978,7951.171875,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.69854736328125,35.0,74.0,0.47297297297297297,0.0,35.0,0.0,1.0,0.1499552368077579,0.0,0.1499552368077579,0.0,0.6,0.0052088211334235714,1.0000000002111868,0.6711427521622018,2.1226522377255883e-09,0.0,35.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5014473058055755,-3.842560602535148e-05,0.5000192128030126,nan,1094.2879479844123,7881.892578125,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.68560791015625,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.14989824789604883,0.0,0.14989824789604883,0.0,0.6,0.0052088211334235714,1.0000000004254896,0.6686216826834861,1.0610361169814262e-08,0.0,40.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5013164143111508,5.6669092470538295e-05,0.49997166545376476,nan,1101.7459759605117,7933.939453125,,,,,,,,,,
